smiles,compound,flashpoint,source,pure substance
CCCCC,pentane,233.0,carroll11,1
CCCCCC,hexane,247.0,carroll11,1
CCCCCCC,heptane,269.0,carroll11,1
CCCCCCCC,octane,286.0,carroll11,1
CCCCCCCCC,nonane,304.0,carroll11,1
CCCCCCCCCC,decane,319.0,carroll11,1
CCCCCCCCCCC,undecane,333.0,carroll11,1
CCCCCCCCCCCC,dodecane,344.0,carroll11,1
CCCCCCCCCCCCC,tridecane,367.0,carroll11,1
CCCCCCCCCCCCCC,tetradecane,373.0,carroll11,1
CCCCCCCCCCCCCCC,pentadecane,388.0,carroll11,1
CCCCCCCCCCCCCCCC,hexadecane,408.0,carroll11,1
CCCCCCCCCCCCCCCCC,heptadecane,421.0,carroll11,1
CC(C)CC,2-methylbutane,222.0,carroll11,1
CC(C)CCC,2-methylpentane,241.0,carroll11,1
CC(C)CCCCC,2-methylheptane,277.0,carroll11,1
CC(C)CCCCCC,2-methyloctane,297.0,carroll11,1
CC(C)CCCCCCC,2-methylnonane,311.0,carroll11,1
CC(C)CCCCCCCC,2-methyldecane,323.0,carroll11,1
CC(C)CCCCCCCCC,2-methylundecane,334.0,carroll11,1
CC(C)CCCCCCCCCC,2-methyldodecane,344.0,carroll11,1
C1CCCC1,cyclopentane,236.0,carroll11,1
CC(C)(CC)C,"2,2-dimethylbutane",244.0,carroll11,1
CC(C)C(C)C,"2,3-dimethylbutane",244.0,carroll11,1
CC1CCCC1,methylcyclopentane,250.0,carroll11,1
CC(C)(CCC)C,"2,2-dimethylpentane",250.0,carroll11,1
CC(C)(C(C)C)C,"2,2,3-trimethylbutane",249.0,carroll11,1
CC(C)CC(C)C,"2,4-dimethylpentane",261.0,carroll11,1
C1CCCCC1,cyclohexane,255.0,carroll11,1
CC(CC)(CC)C,"3,3-dimethylpentane",254.0,carroll11,1
CC1(CCCC1)C,"1,1-dimethylcyclopentane",257.0,carroll11,1
CC(C)C(CC)C,"2,3-dimethylpentane",258.0,carroll11,1
CC(CC)CC,3-methylpentane,241.0,carroll11,1
CC(CC)CCC,3-methylhexane,258.0,carroll11,1
CC(CC)CCCC,3-methylheptane,279.0,carroll11,1
CC(CC)CCCCC,3-methyloctane,297.0,carroll11,1
CC(CC)CCCCCC,3-methylnonane,314.0,carroll11,1
C(C)C(CC)CC,3-ethylpentane,261.0,carroll11,1
CC(C)(CC(C)C)C,"2,2,4-trimethylpentane",266.0,carroll11,1
C[C@H]1[C@H](CCC1)C,"cis-1,2-dimethylcyclopentane",269.0,carroll11,1
CC1CCCCC1,methylcyclohexane,269.0,carroll11,1
C(C)C1CCCC1,ethylcyclopentane,269.0,carroll11,1
CC(C)(CCCC)C,"2,2-dimethylhexane",270.0,carroll11,1
CC(C)(C(C)(C)C)C,"2,2,3,3-tetramethylbutane",273.0,carroll11,1
CC(C)CCC(C)C,"2,5-dimethylhexane",271.0,carroll11,1
CC(C)(C(CC)C)C,"2,2,3-trimethylpentane",270.0,carroll11,1
CC(CC)(CCC)C,"3,3-dimethylhexane",272.0,carroll11,1
