compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin
acetic acid,313.15,1,CC(=O)O,pubchem,0,0,0
hexanedioic acid,464.15,1,C(CCC(=O)O)CC(=O)O,pubchem,0,0,0
2-aminobenzoic acid,444.15,1,C1=CC=C(C(=C1)C(=O)O)N,pubchem,0,0,0
benzoic acid,394.15,1,C1=CC=C(C=C1)C(=O)O,pubchem,0,0,0
butanoic acid,350.15,1,CCCC(=O)O,pubchem,0,0,0
formic acid,342.15,1,C(=O)O,pubchem,0,0,0
2-chloroacetic acid,423.15,1,C(C(=O)O)Cl,pubchem,0,0,0
"2-hydroxypropane-1,2,3-tricarboxylic acid",373.15,1,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,pubchem,0,0,0
2-hydroxybenzoic acid,430.15,1,C1=CC=C(C(=C1)C(=O)O)O,pubchem,0,0,0
octanoic acid,383.15,1,CCCCCCCC(=O)O,pubchem,0,0,0
2-hydroxypropanoic acid,386.15,1,CC(C(=O)O)O,pubchem,0,0,0
"2,3-dihydroxybutanedioic acid",483.15,1,C(C(C(=O)O)O)(C(=O)O)O,pubchem,0,0,0
pyridine-3-carboxylic acid,466.15,1,C1=CC(=CN=C1)C(=O)O,pubchem,0,0,0
2-phenylacetic acid,405.15,1,C1=CC=C(C=C1)CC(=O)O,pubchem,0,0,0
phthalic acid,441.15,1,C1=CC=C(C(=C1)C(=O)O)C(=O)O,pubchem,0,0,0
propanoic acid,327.15,1,CCC(=O)O,pubchem,0,0,0
butanedioic acid,433.15,1,C(CC(=O)O)C(=O)O,pubchem,0,0,0
2-sulfanylacetic acid,386.15,1,C(C(=O)O)S,pubchem,0,0,0
2-acetyloxybenzoic acid,523.15,1,CC(=O)OC1=CC=CC=C1C(=O)O,pubchem,0,0,0
nonanedioic acid,483.15,1,C(CCCC(=O)O)CCCC(=O)O,pubchem,0,0,0
decanoic acid,386.15,1,CCCCCCCCCC(=O)O,pubchem,0,0,0
2-propylpentanoic acid,384.15,1,CCCC(CCC)C(=O)O,pubchem,0,0,0
dodecanoic acid,386.15,1,CCCCCCCCCCCC(=O)O,pubchem,0,0,0
2-methylprop-2-enoic acid,350.15,1,CC(=C)C(=O)O,pubchem,0,0,0
decanedioic acid,493.15,1,C(CCCCC(=O)O)CCCC(=O)O,pubchem,0,0,0
"hexa-2,4-dienoic acid",400.15,1,CC=CC=CC(=O)O,pubchem,0,0,0
octadecanoic acid,469.15,1,CCCCCCCCCCCCCCCCCC(=O)O,pubchem,0,0,0
4-methylbenzenesulfonic acid,457.15,1,CC1=CC=C(C=C1)S(=O)(=O)O,pubchem,0,0,0
4-nitrobenzoic acid,475.15,1,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],pubchem,0,0,0
2-bromoacetic acid,386.15,1,C(C(=O)O)Br,pubchem,0,0,0
4-chlorobenzoic acid,511.15,1,C1=CC(=CC=C1C(=O)O)Cl,pubchem,0,0,0
methanesulfonic acid,462.15,1,CS(=O)(=O)O,pubchem,0,0,0
"2,2-dimethylpropanoic acid",337.15,1,CC(C)(C)C(=O)O,pubchem,0,0,0
prop-2-enoic acid,327.15,1,C=CC(=O)O,pubchem,0,0,0
ethaneperoxoic acid,314.15,1,CC(=O)OO,pubchem,0,0,0
2-methylpropanoic acid,329.15,1,CC(C)C(=O)O,pubchem,0,0,0
benzenesulfonic acid,386.15,1,C1=CC=C(C=C1)S(=O)(=O)O,pubchem,0,0,0
terephthalic acid,533.15,1,C1=CC(=CC=C1C(=O)O)C(=O)O,pubchem,0,0,0
pentanoic acid,362.15,1,CCCCC(=O)O,pubchem,0,0,0
nonanoic acid,406.15,1,CCCCCCCCC(=O)O,pubchem,0,0,0
"2-(2,4-dichlorophenoxy)propanoic acid",477.15,1,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,pubchem,0,0,0
2-ethylhexanoic acid,400.15,1,CCCCC(CC)C(=O)O,pubchem,0,0,0
hexanoic acid,377.15,1,CCCCCC(=O)O,pubchem,0,0,0
prop-2-ynoic acid,331.15,1,C#CC(=O)O,pubchem,0,0,0
3-methylbutanoic acid,343.15,1,CC(C)CC(=O)O,pubchem,0,0,0
"(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid",460.15,1,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,pubchem,0,0,0
