,compound,flashpoint,pure substance,smiles,source
13447,1-Chlorobutane,262.1,1.0,CCCCCl,caroll15
13448,1-Chloro-3-methylbutane,289.2,1.0,CC(C)CCCl,caroll15
13449,1-Chloro-2-methylbutane,283.0,1.0,CCC(C)CCl,caroll15
13450,1-Chloropentane,284.3,1.0,CCCCCCl,caroll15
13451,"1-Chloro-3,3-dimethylbutane",292.2,1.0,CC(C)(C)CCCl,caroll15
13452,"1-Chloro-2,2-dimethylbutane",292.2,1.0,CCC(C)(C)CCl,caroll15
13453,3-(Chloromethyl)pentane,298.2,1.0,CCC(CC)CCl,caroll15
13454,1-Chloro-2-ethylbutane,298.2,1.0,CCC(CC)CCl,caroll15
13455,1-Chloro-2-methylpentane,298.2,1.0,CCCC(C)CCl,caroll15
13456,1-Chloro-3-methylpentane,298.2,1.0,CCC(C)CCCl,caroll15
13457,1-Chlorohexane,299.9,1.0,CCCCCCCl,caroll15
13458,1-Chloro-3-methylhexane,312.4,1.0,CCCC(C)CCCl,caroll15
13459,1-Chloroheptane,314.9,1.0,CCCCCCCCl,caroll15
13460,1-Chloro-5-methylheptane,325.7,1.0,CCC(C)CCCCCl,caroll15
13461,1-Chlorooctane,334.2,1.0,CCCCCCCCCl,caroll15
13462,1-Chlorodecane,356.2,1.0,CCCCCCCCCCCl,caroll15
13463,1-Chloroundecane,367.6,1.0,CCCCCCCCCCCCl,caroll15
13464,1-Chlorododecane,377.7,1.0,CCCCCCCCCCCCCl,caroll15
13465,1-Chlorotetradecane,403.2,1.0,CCCCCCCCCCCCCCCl,caroll15
13466,1-Chlorohexadecane,411.3,1.0,CCCCCCCCCCCCCCCCCl,caroll15
13467,1-Chloroheptadecane,418.4,1.0,CCCCCCCCCCCCCCCCCCl,caroll15
13468,1-Chlorooctadecane,457.2,1.0,CCCCCCCCCCCCCCCCCCCl,caroll15
13469,3-Chloropentane,283.0,1.0,CCC(Cl)CC,caroll15
13470,3-Chloro-2-methylpentane,294.0,1.0,CCC(Cl)C(C)C,caroll15
13471,2-Chloro-4-methylpentane,294.0,1.0,CC(C)CC(C)Cl,caroll15
13472,2-Chlorohexane,298.2,1.0,CCCCC(C)Cl,caroll15
13473,3-Chlorohexane,298.2,1.0,CCCC(Cl)CC,caroll15
13474,2-Chloro-5-methylhexane,308.4,1.0,CC(C)CCC(C)Cl,caroll15
13475,4-Chloroheptane,312.4,1.0,CCCC(Cl)CCC,caroll15
13476,3-Chloroheptane,312.4,1.0,CCCCC(Cl)CC,caroll15
13477,2-Chloroheptane,312.4,1.0,CCCCCC(C)Cl,caroll15
13478,3-Chlorooctane,325.7,1.0,CCCCCC(Cl)CC,caroll15
13479,2-Chlorononane,338.3,1.0,CCCCCCCC(C)Cl,caroll15
13480,5-Chlorononane,338.3,1.0,CCCCC(Cl)CCCC,caroll15
13481,(S)-6-Chloro-2-methylnonane,346.9,1.0,CCC[C@H](Cl)CCCC(C)C,caroll15
13482,2-Chlorodecane,350.2,1.0,CCCCCCCCC(C)Cl,caroll15
13483,2-Chlorododecane,372.7,1.0,CCCCCCCCCCC(C)Cl,caroll15
13484,5-Chlorododecane,372.6,1.0,CCCCCCCC(Cl)CCCC,caroll15
13485,5-Chlorotridecane,383.2,1.0,CCCCCCCCC(Cl)CCCC,caroll15
13486,"2-Chloro-2,3-dimethylbutane",288.1,1.0,CC(C)C(C)(C)Cl,caroll15
13487,3-Chloro-3-methylpentane,282.6,1.0,CCC(C)(Cl)CC,caroll15
13488,2-Chloro-2-methylpentane,294.0,1.0,CCCC(C)(C)Cl,caroll15
13489,"2-Chloro-2,4-dimethylpentane",302.9,1.0,CC(C)CC(C)(C)Cl,caroll15
13490,3-Chloro-3-methylhexane,306.7,1.0,CCCC(C)(Cl)CC,caroll15
13491,"2-Chloro-2,3-dimethylpentane",302.9,1.0,CCC(C)C(C)(C)Cl,caroll15
13492,"2-Chloro-2,3,3-trimethylbutane",297.5,1.0,CC(C)(C)C(C)(C)Cl,caroll15
13493,3-Chloro-3-ethylpentane,306.7,1.0,CCC(Cl)(CC)CC,caroll15
13494,"2-Chloro-2,4,4-trimethylpentane",311.5,1.0,CC(C)(C)CC(C)(C)Cl,caroll15
13495,"3-Chloro-2,3-dimethylhexane",316.7,1.0,CCCC(C)(Cl)C(C)C,caroll15
13496,3-Chloro-3-methylheptane,320.3,1.0,CCCCC(C)(Cl)CC,caroll15
13497,2-Chloro-2-methylheptane,320.3,1.0,CCCCCC(C)(C)Cl,caroll15
13498,"3-Chloro-2,2,3-trimethylhexane",324.8,1.0,CCCC(C)(Cl)C(C)(C)C,caroll15
13499,3-Chloro-3-ethylheptane,333.1,1.0,CCCCC(Cl)(CC)CC,caroll15
13500,3-Chloro-3-methyloctane,333.1,1.0,CCCCCC(C)(Cl)CC,caroll15
13501,"6-Chloro-2,6-dimethyloctane",342.0,1.0,CCC(C)(Cl)CCCC(C)C,caroll15
13502,2-Chloro-2-methylnonane,345.3,1.0,CCCCCCCC(C)(C)Cl,caroll15
13503,3-Chloro-3-methylnonane,345.3,1.0,CCCCCCC(C)(Cl)CC,caroll15
13504,"1-Chloro-2,3-dimethylbutane",294.0,1.0,CC(C)C(C)CCl,caroll15
13505,1-Chloro-4-methylpentane,298.2,1.0,CC(C)CCCCl,caroll15
13506,3-(Chloromethyl)heptane,325.7,1.0,CCCCC(CC)CCl,caroll15
13507,1-Chlorononane,347.2,1.0,CCCCCCCCCCl,caroll15
