Compound,TFP (K)
2-methylbutane,222
n-pentane,233
cyclopentane,236
"2,2-dimethylbutane",244
"2,3-dimethylbutane",244
2-methylpentane,241
3-methylpentane,241
n-hexane,250
methylcyclopentane,250
"2,2-dimethylpentane",250
"2,2,3-trimethylbutane",249
"2,4-dimethylpentane",261
cyclohexane,255
"3,3-dimethylpentane",254
"1,1-dimethylcyclopentane",257
2-methylhexane,255
"2,3-dimethylpentane",258
3-methylhexane,258
3-ethylpentane,261
"2,2,4-trimethylpentane",261
n-heptane,269
"cis-1,2-dimethylcyclopentane",269
methylcyclohexane,269
ethylcyclopentane,269
"2,2,3,3-tetramethylbutane",273
"2,2-dimethylhexane",270
"2,5-dimethylhexane",271
"2,2,3-trimethylpentane",270
"3,3-dimethylhexane",272
"2,3,4-trimethylpentane",273
"2,3,3-trimethylpentane",273
3-ethyl-2-methylpentane,276
"2,3-dimethylhexane",278
"3,4-dimethylhexane",277
4-methylheptane,278
2-methylheptane,278
"trans-1,4-dimethylcyclohexane",279
3-ethyl-3-methylpentane,276
3-methylheptane,280
cycloheptane,279
3-ethylhexane,279
"cis-1,3-dimethylcyclohexane",279
"1,1-dimethylcyclohexane",280
"2,2,4,4-tetramethylpentane",276
1-ethyl-1-methylcyclopentane,279
"cis-1,4-dimethylcyclohexane",279
"2,2,5-trimethylhexane",286
"trans-1,2-dimethylcyclohexane",280
"trans-1,3-dimethylcyclohexane",281
n-octane,286
isopropylcyclopentane,287
"2,2,4-trimethylhexane",288
"cis-1,2-dimethylcyclohexane",284
"2,4,4-trimethylhexane",288
"2,3,5-trimethylhexane",288
propylcyclopentane,289
ethylcyclohexane,291
"2,2-dimethylheptane",297
"2,2,3,4-tetramethylpentane",284
"2,4-dimethylheptane",288
"3-ethyl-2,2-dimethylpentane",286
"2,2,3-trimethylhexane",288
"2,6-dimethylheptane",299
"4,4-dimethylheptane",288
"2,5-dimethylheptane",288
"3,5-dimethylheptane",288
"3-ethyl-2,4-dimethylpentane",288
"2,3,3-trimethylhexane",288
"2,2,5,5-tetramethylhexane",289
"2,3,4-trimethylhexane",288
"2,3,3,4-tetramethylpentane",284
"2,3-dimethylheptane",288
"2,2,3,3-tetramethylpentane",289
4-ethylheptane,288
3-ethyl-4-methylhexane,288
"3,4-dimethylheptane",288
"3,3,4-trimethylhexane",288
"3-ethyl-2,3-dimethylpentane",288
4-methyloctane,295
2-methyloctane,297
3-methyloctane,297
"2,4,6-trimethylheptane",304
"3,3-diethylpentane",294
cyclooctane,301
n-nonane,304
isopropylcyclohexane,308
"2,2,4,4-tetramethylhexane",304
"2,2-dimethyloctane",304
"2,2,3,4-tetramethylhexane",304
n-propylcyclohexane,304
"3,3,5-trimethylheptane",304
"2,3,4,5-tetramethylhexane",304
n-butylcyclopentane,308
3-ethyl-5-methylheptane,304
"3,5-dimethyloctane",314
"3-ethyl-2,2-dimethylhexane",311
"2,6-dimethyloctane",307
"2,2,3,3-tetramethylhexane",304
"3,3-dimethyloctane",314
4-propylheptane,314
"2,3,4,4-tetramethylhexane",304
4-ethyloctane,314
3-ethyl-3-methylheptane,314
"3,4,5-trimethylheptane",304
"2,3-dimethyloctane",309
"2,3,3,4-tetramethylhexane",304
5-methylnonane,312
4-ethyl-3-methylheptane,314
2-methylnonane,314
4-methylnonane,311
3-methylnonane,314
"3-ethyl-2,3,4-trimethylpentane",304
"3,3,4,4-tetramethylhexane",304
tert-butylcyclohexane,315
n-decane,319
cyclononane,316
n-butylcyclohexane,321
trans-decalin,325
cis-decalin,331
n-undecane,333
cyclodecane,338
n-pentylcyclohexane,339
n-dodecane,344
bicyclohexyl,365
n-tridecane,367
"2,2,4,4,6,8,8-heptamethylnonane",368
n-tetradecane,372
n-pentadecane,388
n-hexadecane,407
n-heptadecane,421
3-methyl-1-butene,217
1-pentene,222
2-methyl-1-butene,226
cis-2-pentene,226
trans-2-pentene,228
2-methyl-2-butene,228
