,compound,flashpoint,pure substance,smiles,source
0,pentane,233.0,1,CCCCC,carroll11
1,hexane,247.0,1,CCCCCC,carroll11
2,heptane,269.0,1,CCCCCCC,carroll11
3,octane,286.0,1,CCCCCCCC,carroll11
4,nonane,304.0,1,CCCCCCCCC,carroll11
5,decane,319.0,1,CCCCCCCCCC,carroll11
6,undecane,333.0,1,CCCCCCCCCCC,carroll11
7,dodecane,344.0,1,CCCCCCCCCCCC,carroll11
8,tridecane,367.0,1,CCCCCCCCCCCCC,carroll11
9,tetradecane,373.0,1,CCCCCCCCCCCCCC,carroll11
10,pentadecane,388.0,1,CCCCCCCCCCCCCCC,carroll11
11,hexadecane,408.0,1,CCCCCCCCCCCCCCCC,carroll11
12,heptadecane,421.0,1,CCCCCCCCCCCCCCCCC,carroll11
13,2-methylbutane,222.0,1,CC(C)CC,carroll11
14,2-methylpentane,241.0,1,CC(C)CCC,carroll11
15,2-methylheptane,277.0,1,CC(C)CCCCC,carroll11
16,2-methyloctane,297.0,1,CC(C)CCCCCC,carroll11
17,2-methylnonane,311.0,1,CC(C)CCCCCCC,carroll11
18,2-methyldecane,323.0,1,CC(C)CCCCCCCC,carroll11
19,2-methylundecane,334.0,1,CC(C)CCCCCCCCC,carroll11
20,2-methyldodecane,344.0,1,CC(C)CCCCCCCCCC,carroll11
21,cyclopentane,236.0,1,C1CCCC1,carroll11
22,"2,2-dimethylbutane",244.0,1,CC(C)(CC)C,carroll11
23,"2,3-dimethylbutane",244.0,1,CC(C)C(C)C,carroll11
24,methylcyclopentane,250.0,1,CC1CCCC1,carroll11
25,"2,2-dimethylpentane",250.0,1,CC(C)(CCC)C,carroll11
26,"2,2,3-trimethylbutane",249.0,1,CC(C)(C(C)C)C,carroll11
27,"2,4-dimethylpentane",261.0,1,CC(C)CC(C)C,carroll11
28,cyclohexane,255.0,1,C1CCCCC1,carroll11
29,"3,3-dimethylpentane",254.0,1,CC(CC)(CC)C,carroll11
30,"1,1-dimethylcyclopentane",257.0,1,CC1(CCCC1)C,carroll11
31,"2,3-dimethylpentane",258.0,1,CC(C)C(CC)C,carroll11
32,3-methylpentane,241.0,1,CC(CC)CC,carroll11
33,3-methylhexane,258.0,1,CC(CC)CCC,carroll11
34,3-methylheptane,279.0,1,CC(CC)CCCC,carroll11
35,3-methyloctane,297.0,1,CC(CC)CCCCC,carroll11
36,3-methylnonane,314.0,1,CC(CC)CCCCCC,carroll11
37,3-ethylpentane,261.0,1,C(C)C(CC)CC,carroll11
38,"2,2,4-trimethylpentane",266.0,1,CC(C)(CC(C)C)C,carroll11
39,"cis-1,2-dimethylcyclopentane",269.0,1,C[C@H]1[C@H](CCC1)C,carroll11
40,methylcyclohexane,269.0,1,CC1CCCCC1,carroll11
41,ethylcyclopentane,269.0,1,C(C)C1CCCC1,carroll11
42,"2,2-dimethylhexane",270.0,1,CC(C)(CCCC)C,carroll11
43,"2,2,3,3-tetramethylbutane",273.0,1,CC(C)(C(C)(C)C)C,carroll11
44,"2,5-dimethylhexane",271.0,1,CC(C)CCC(C)C,carroll11
45,"2,2,3-trimethylpentane",270.0,1,CC(C)(C(CC)C)C,carroll11
46,"3,3-dimethylhexane",272.0,1,CC(CC)(CCC)C,carroll11
47,"2,3,4-trimethylpentane",273.0,1,CC(C)C(C(C)C)C,carroll11
48,"2,3,3-trimethylpentane",278.0,1,CC(C)C(CC)(C)C,carroll11
49,3-ethyl-2-methylpentane,276.0,1,C(C)C(C(C)C)CC,carroll11
50,"2,3-dimethylhexane",278.0,1,CC(C)C(CCC)C,carroll11
51,"3,4-dimethylhexane",279.0,1,CC(CC)C(CC)C,carroll11
52,4-methylheptane,278.0,1,CC(CCC)CCC,carroll11
53,3-ethyl-3-methylpentane,276.0,1,C(C)C(CC)(CC)C,carroll11
54,3-ethylhexane,278.0,1,C(C)C(CC)CCC,carroll11
55,cycloheptane,279.0,1,C1CCCCCC1,carroll11
56,"trans-1,4-dimethylcyclohexane",279.0,1,C[C@@H]1CC[C@H](CC1)C,carroll11
57,"cis-1,3-dimethylcyclohexane",279.0,1,C[C@@H]1C[C@@H](CCC1)C,carroll11
58,"1,1-dimethylcyclohexane",280.0,1,CC1(CCCCC1)C,carroll11
59,"2,2,4,4-tetramethylpentane",279.0,1,CC(C)(CC(C)(C)C)C,carroll11
