,compound,flashpoint,pure substance,smiles,source
2692,Trichlorosilane,245.15,1.0,Cl[SiH](Cl)Cl,chen14
2693,Methyltrichlorosilane,276.15,1.0,C[Si](Cl)(Cl)Cl,chen14
2694,Vinyltrichlorosilane,294.15,1.0,C(=C)[Si](Cl)(Cl)Cl,chen14
2695,Dichloromethylmethyldichlorosilane,301.15,1.0,ClC(Cl)[Si](Cl)(Cl)C,chen14
2696,Ethyltrichlorosilane,263.15,1.0,C(C)[Si](Cl)(Cl)Cl,chen14
2697,Dimethylchlorosilane,245.15,1.0,C[SiH](Cl)C,chen14
2698,Ethylsilane,213.15,1.0,C(C)[SiH3],chen14
2699,"Trichloro(3,3,3-trifluoropropyl)silane",288.15,1.0,Cl[Si](CCC(F)(F)F)(Cl)Cl,chen14
2700,Allyltrichlorosilane,304.15,1.0,C(C=C)[Si](Cl)(Cl)Cl,chen14
2701,3-Chloropropyltrichlorosilane,357.15,1.0,ClCCC[Si](Cl)(Cl)Cl,chen14
2702,n-Propyltrichlorosilane,310.15,1.0,C(CC)[Si](Cl)(Cl)Cl,chen14
2703,Chloromethyldimethylchlorosilane,295.15,1.0,ClC[Si](Cl)(C)C,chen14
2704,Trimethyl bromosilane,270.15,1.0,C[Si](Br)(C)C,chen14
2705,Trimethylchlorosilane,255.15,1.0,C[Si](Cl)(C)C,chen14
2706,Trimethylfluorosilane,238.15,1.0,C[Si](F)(C)C,chen14
2707,Trimethoxysilane,264.15,1.0,CO[SiH](OC)OC,chen14
2708,2-Cyanoethylmethyldichlorosilane,333.15,1.0,C(#N)CC[Si](Cl)(Cl)C,chen14
2709,Allylmethyldichlorosilane,300.15,1.0,C(C=C)C[SiH](Cl)Cl,chen14
2710,t-Butyltrichlorosilane,294.15,1.0,C(C)(C)(C)[Si](Cl)(Cl)Cl,chen14
2711,Isobutyltrichlorosilane,310.15,1.0,C(C(C)C)[Si](Cl)(Cl)Cl,chen14
2712,n-Butyltrichlorosilane,327.15,1.0,C(CCC)[Si](Cl)(Cl)Cl,chen14
2713,Trimethylsilylisothiocyanate,308.15,1.0,C[Si](C)(C)N=C=S,chen14
2714,n-Propylmethyldichlorosilane,300.15,1.0,C(CC)[Si](Cl)(Cl)C,chen14
2715,Bromomethyltrimethylsilane,289.15,1.0,BrC[Si](C)(C)C,chen14
2716,ETHYLDIMETHYLCHLOROSILANE,269.15,1.0,C(C)[Si](Cl)(C)C,chen14
2717,Methoxytrimethylsilane,243.15,1.0,CO[Si](C)(C)C,chen14
2718,Dimethyldimethoxysilane,265.15,1.0,C[Si](OC)(OC)C,chen14
2719,Methyltrimethoxysilane,284.15,1.0,C[Si](OC)(OC)OC,chen14
2720,Tetramethoxysilane,294.15,1.0,CO[Si](OC)(OC)OC,chen14
2721,Tetramethylsilane,245.15,1.0,C[Si](C)(C)C,chen14
2722,Diethylsilane,253.15,1.0,C(C)[SiH2]CC,chen14
2723,"(N,N-Dimethylamino)dimethylsilane",260.15,1.0,CN(C)[SiH](C)C,chen14
2724,Tetraisocyanatosilane,323.15,1.0,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,chen14
2725,Cyclopentyltrichlorosilane,350.15,1.0,C1(CCCC1)[Si](Cl)(Cl)Cl,chen14
2726,Trimethylsilyltrifluoroacetate,273.15,1.0,C[Si](C)(C)OC(C(F)(F)F)=O,chen14
2727,Cyclopentyldichlorosilane,316.15,1.0,C1(CCCC1)[SiH](Cl)Cl,chen14
2728,3-Chloro-2-methylpropylmethyldichlorosilane,363.15,1.0,ClCC(C[Si](Cl)(Cl)C)C,chen14
2729,Methylvinyldimethoxysilane,277.15,1.0,CC=C[SiH](OC)OC,chen14
2730,Vinyltrimethoxysilane,296.15,1.0,C(=C)[Si](OC)(OC)OC,chen14
2731,Trimethylvinylsilane,239.15,1.0,CC(=C(C)C)[SiH3],chen14
2732,Diethylmethylchlorosilane,288.15,1.0,C(C)[Si](Cl)(C)CC,chen14
2733,Chloromethyldimethylethoxysilane,299.15,1.0,ClC[Si](OCC)(C)C,chen14
2734,Ethoxytrimethylsilane,246.15,1.0,C(C)O[Si](C)(C)C,chen14
2735,Ethyltrimethoxysilane,300.15,1.0,C(C)[Si](OC)(OC)OC,chen14
2736,"(N,N-Dimethylamino)trimethylsilane",254.5,1.0,CN(C)[Si](C)(C)C,chen14
2737,Pentamethyldisiloxane,254.15,1.0,C[SiH](O[Si](C)(C)C)C,chen14
2738,Phenylsilane,281.15,1.0,C1(=CC=CC=C1)[SiH3],chen14
2739,1-Hexenyltrichlorosilane,333.15,1.0,C(=CCCCC)[Si](Cl)(Cl)Cl,chen14
2740,Cyclohexyltrichlorosilane,358.15,1.0,C1(CCCCC1)[Si](Cl)(Cl)Cl,chen14
2741,Bis(chloromethyl)tetramethyldisiloxane,346.15,1.0,ClC[Si](O[Si](C)(C)C)(C)CCl,chen14
2742,Propargyloxytrimethylsilane,300.15,1.0,C(C#C)O[Si](C)(C)C,chen14
2743,Divinyldimethylsilane,281.15,1.0,C(=C)[Si](C)(C)C=C,chen14
2744,n-Hexyltrichlorosilane,358.15,1.0,C(CCCCC)[Si](Cl)(Cl)Cl,chen14
2745,Hexyldichlorosilane,337.15,1.0,C(CCCCC)[SiH](Cl)Cl,chen14
2746,"1,1 -Dimethyl-1-sila-2-oxacyclohexane",287.15,1.0,C[Si]1(OCCCC1)C,chen14
2747,Acetoxymethyltrimethylsilane,293.15,1.0,C(C)(=O)OC[Si](C)(C)C,chen14
2748,Allyltrimethylsilane,280.15,1.0,C(C=C)[Si](C)(C)C,chen14
2749,Triethylchlorosilane,303.15,1.0,C(C)[Si](Cl)(CC)CC,chen14
2750,t-Butyldimethylchlorosilane,295.15,1.0,C(C)(C)(C)[Si](Cl)(C)C,chen14
2751,3-Chloropropylmethyldimethoxysilane,318.15,1.0,ClCCC[Si](OC)(OC)C,chen14
2752,Trimethyl-n-propoxysilane,283.15,1.0,C[Si](OCCC)(C)C,chen14
2753,t-Butyldimethylsilanol,318.15,1.0,C(C)(C)(C)[Si](O)(C)C,chen14
2754,Dimethyldiethoxysilane,284.15,1.0,C[Si](OCC)(OCC)C,chen14
2755,Triethylsilane,270.15,1.0,C(C)[SiH](CC)CC,chen14
2756,Hexylsilane,285.15,1.0,C(CCCCC)[SiH3],chen14
2757,t-Butyld imethyl silane,251.15,1.0,C(C)(C)(C)[SiH](C)C,chen14
2758,Bis(dimethylamino)dimethylsilane,266.15,1.0,CN(C)[Si](C)(C)N(C)C,chen14
2759,Hexamethylcyclotrisiloxane,305.15,1.0,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,chen14
2760,Hexamethyldisilthiane,299.15,1.0,C[Si](S[Si](C)(C)C)(C)C,chen14
2761,Hexamethyldisilazane,281.15,1.0,C[Si](N[Si](C)(C)C)(C)C,chen14
2762,Tris(dimethylamino)silane,298.15,1.0,CN(C)[SiH](N(C)C)N(C)C,chen14
2763,Hexamethyltrisiloxane,293.15,1.0,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,chen14
2764,Phenylmethyldichlorosilane,340.15,1.0,C1(=CC=CC=C1)C[SiH](Cl)Cl,chen14
2765,Phenylmethylchlorosilane,355.15,1.0,C1(=CC=CC=C1)C[SiH2]Cl,chen14
2766,Methyltriacetoxysilane,358.15,1.0,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
2767,Trivinylmethylsilane,288.15,1.0,C(=C)C(C=C)(C=C)[SiH3],chen14
2768,Cyclohexylmethyldichlorosilane,355.15,1.0,C1(CCCCC1)C[SiH](Cl)Cl,chen14
2769,"1-(Trimethylsiloxy)-1,3-butadiene",298.15,1.0,C[Si](OC=CC=C)(C)C,chen14
2770,2-Chloromethyl-3-trimethylsilyl-1-propene,316.15,1.0,ClCC(=C)C[Si](C)(C)C,chen14
2771,n-Heptyltrichlorosilane,337.15,1.0,C(CCCCCC)[Si](Cl)(Cl)Cl,chen14
2772,n-Hexylmethyldichlorosilane,358.15,1.0,C(CCCCC)[Si](Cl)(Cl)C,chen14
2773,Vinylmethyldiethoxysilane,289.15,1.0,C(=C)C[SiH](OCC)OCC,chen14
2774,N-(Trimethylsilyl)morpholine,300.15,1.0,C[Si](N1CCOCC1)(C)C,chen14
2775,t-Butoxytrimethylsilane,287.15,1.0,C(C)(C)(C)O[Si](C)(C)C,chen14
2776,(1-Methoxy-2-propoxy)trimethylsilane,293.15,1.0,COCC(C)O[Si](C)(C)C,chen14
2777,Methyltriethoxysilane,297.15,1.0,C[Si](OCC)(OCC)OCC,chen14
2778,(Diethylamino)trimethylsilane,283.15,1.0,C(C)N(CC)[Si](C)(C)C,chen14
2779,Bis(trimethylsilyl)methane,285.15,1.0,C[Si](C)(C)C[Si](C)(C)C,chen14
2780,Heptamethyldisilazane,300.15,1.0,C[Si](N([Si](C)(C)C)C)(C)C,chen14
2781,Bis(trimethylsiloxy)methylsilane,296.15,1.0,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,chen14
2782,Tetravinylsilane,291.15,1.0,C(=C)[Si](C=C)(C=C)C=C,chen14
2783,Cyclopentadienyltrimethylsilane,302.15,1.0,C1(C=CC=C1)[Si](C)(C)C,chen14
2784,(Cyclopentenyloxy)trimethylsilane,311.15,1.0,C1(=CCCC1)O[Si](C)(C)C,chen14
2785,"(2,4-Pentadienyl)trimethylsilane",291.15,1.0,C(C=CC=C)[Si](C)(C)C,chen14
2786,n-Octyltrichlorosilane,369.15,1.0,C(CCCCCCC)[Si](Cl)(Cl)Cl,chen14
2787,n-Heptylmethyldichlorosilane,339.15,1.0,C(CCCCCC)[Si](Cl)(Cl)C,chen14
2788,Tetramethyldivinyldisiloxane,292.15,1.0,C[Si](O[Si](C=C)(C=C)C)(C)C,chen14
2789,Triethylacetoxysilane,314.15,1.0,C(C)C(C(=O)O[SiH3])(CC)CC,chen14
2790,Vinyltriethoxysilane,307.15,1.0,C(=C)[Si](OCC)(OCC)OCC,chen14
2791,"1,3-Divinyltetramethyldisilazane",307.15,1.0,C(=C)[Si](N[Si](C=C)(C)C)(C)C,chen14
2792,Diethyldiethoxysilane,316.15,1.0,C(C)[Si](OCC)(OCC)CC,chen14
2793,Tetraethoxysilane,323.15,1.0,C(C)O[Si](OCC)(OCC)OCC,chen14
2794,Tetraethylsilane,305.15,1.0,C(C)[Si](CC)(CC)CC,chen14
2795,Aminoethylaminopropyltrimethoxysilane,269.15,1.0,NCCNCCC[Si](OC)(OC)OC,chen14
2796,Tetramethyldiethoxysiloxane,311.15,1.0,CC(C(O[Si]([O])OCC)(C)C)C,chen14
2797,Octamethyltrisiloxane,303.15,1.0,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,chen14
