,compound,flashpoint,pure substance,smiles,source
0,Methyltrichlorosilane,276.15,1,C[Si](Cl)(Cl)Cl,didier12
1,Vinyltrichlorosilane,294.15,1,C=C[Si](Cl)(Cl)Cl,didier12
2,Dichloromethylmethyldichlorosilane,301.15,1,C[Si](Cl)(Cl)C(Cl)Cl,didier12
3,Ethyltrichlorosilane,263.15,1,CC[Si](Cl)(Cl)Cl,didier12
4,Dimethylchlorosilane,245.15,1,C[SiH](C)Cl,didier12
5,Ethylsilane,213.15,1,CC[SiH3],didier12
6,"1,1,1-Trifluoropropyltrichlorosilane",288.15,1,CC(C(F)(F)F)[Si](Cl)(Cl)Cl,didier12
7,Allyltrichlorosilane,304.15,1,C=CC[Si](Cl)(Cl)Cl,didier12
8,Methylvinyldichlorosilane,272.15,1,CC=C[SiH](Cl)Cl,didier12
9,3-Chloropropyltrichlorosilane,357.15,1,ClCCC[Si](Cl)(Cl)Cl,didier12
10,n-Propyltrichlorosilane,310.15,1,CCC[Si](Cl)(Cl)Cl,didier12
11,Chloromethyldimethylchlorosilane,295.15,1,C[Si](C)(Cl)CCl,didier12
12,Trimethylbromosilane,270.15,1,C[Si](C)(C)Br,didier12
13,Trimethylchlorosilane,255.15,1,C[Si](C)(C)Cl,didier12
14,Trimethylfluorosilane,238.15,1,C[Si](C)(C)F,didier12
15,Trimethoxysilane,264.15,1,CO[SiH](OC)OC,didier12
16,Cyanoethylmethyldichlorosilane,333.15,1,C[Si](Cl)(Cl)CCC#N,didier12
17,Allylmethyldichlorosilane,300.15,1,C=CCC[SiH](Cl)Cl,didier12
18,3-Chloropropylmethyldichlorosilane,359.15,1,C[Si](Cl)(Cl)CCCCl,didier12
19,t-Butyltrichlorosilane,294.15,1,CC(C)(C)[Si](Cl)(Cl)Cl,didier12
20,Isobutyltrichlorosilane,310.15,1,CC(C)C[Si](Cl)(Cl)Cl,didier12
21,n-Butyltrichlorosilane,327.15,1,CCCC[Si](Cl)(Cl)Cl,didier12
22,Trimethylsilylisothiocyanate,308.15,1,C[Si](C)(C)N=C=S,didier12
23,n-Propylmethyldichlorosilane,300.15,1,CCC[Si](C)(Cl)Cl,didier12
24,Bromomethyltrimethylsilane,289.15,1,C[Si](C)(C)CBr,didier12
25,Ethyldimethylchlorosilane,269.15,1,CC[Si](C)(C)Cl,didier12
26,Methoxytrimethylsilane,243.15,1,CO[Si](C)(C)C,didier12
27,Dimethyldimethoxysilane,265.15,1,CO[Si](C)(C)OC,didier12
28,Methyltrimethoxysilane,284.15,1,CO[Si](C)(OC)OC,didier12
29,Tetramethoxysilane,294.15,1,CO[Si](OC)(OC)OC,didier12
30,Tetramethylsilane,245.15,1,C[Si](C)(C)C,didier12
31,Diethylsilane,253.15,1,CC[SiH2]CC,didier12
32,"(N,N-Dimethylamino)dimethylsilane",260.15,1,CN(C)[SiH](C)C,didier12
33,Tetraisocyanatosilane,323.15,1,O=C=N[Si](N=C=O)(N=C=O)N=C=O,didier12
34,Cyclopentyltrichlorosilane,350.15,1,Cl[Si](Cl)(Cl)C1CCCC1,didier12
35,Trimethylsilyltrifluoroacetate,273.15,1,C[Si](C)(C)OC(=O)C(F)(F)F,didier12
36,Cyclopentyldichlorosilane,316.15,1,Cl[SiH](Cl)C1CCCC1,didier12
37,3-Chloro-2-methylpropylmethyldichlorosilane,363.15,1,CC(CCl)C[Si](C)(Cl)Cl,didier12
38,Methylvinyldimethoxysilane,277.15,1,CC=C[SiH](OC)OC,didier12
39,Vinyltrimethoxysilane,296.15,1,C=C[Si](OC)(OC)OC,didier12
40,Trimethylvinylsilane,239.15,1,CC(C)=C(C)[SiH3],didier12
41,Diethylmethylchlorosilane,288.15,1,CC[Si](C)(Cl)CC,didier12
42,Chloromethyldimethylethoxysilane,299.15,1,CCO[Si](C)(C)CCl,didier12
43,Ethoxytrimethylsilane,246.15,1,CCO[Si](C)(C)C,didier12
44,Ethyltrimethoxysilane,300.15,1,CC[Si](OC)(OC)OC,didier12
45,"(N,N-Dimethylamino)trimethylsilane",254.15,1,CN(C)[Si](C)(C)C,didier12
46,Pentamethyldisiloxane,254.15,1,C[SiH](C)O[Si](C)(C)C,didier12
47,Phenyldichlorosilane,333.15,1,Cl[SiH](Cl)c1ccccc1,didier12
48,Phenylsilane,281.15,1,[SiH3]c1ccccc1,didier12
49,1-Hexenyltrichlorosilane,333.15,1,CCCCC=C[Si](Cl)(Cl)Cl,didier12
50,Cyclohexyltrichlorosilane,358.15,1,Cl[Si](Cl)(Cl)C1CCCCC1,didier12
51,Bis(chloromethyl)tetramethyldisiloxane,346.15,1,C[Si](C)(C)O[Si](C)(CCl)CCl,didier12
52,Propargyloxytrimethylsilane,300.15,1,C#CCO[Si](C)(C)C,didier12
53,Divinyldimethylsilane,281.15,1,C=C[Si](C)(C)C=C,didier12
54,n-Hexyltrichlorosilane,358.15,1,CCCCCC[Si](Cl)(Cl)Cl,didier12
55,Hexyldichlorosilane,337.15,1,CCCCCC[SiH](Cl)Cl,didier12
56,"1,1-Dimethyl-1-sila-2-oxacyclohexane",287.15,1,C[Si]1(C)CCCCO1,didier12
