,compound,flashpoint,pure substance,smiles,source
0,ALUMINUM DIISOPROPOXIDE ETHYLACETOACETATE,323.15,1,CC(C)[O-].CC(C)[O-].CCOC(=O)CC(C)=O.[Al+2],gelest_metal-organics
1,ANTIMONY(III) n-BUTOXIDE,341.15,1,CCCC[O-].CCCC[O-].CCCC[O-].[Sb+3],gelest_metal-organics
2,ARSENIC TRIETHOXIDE,322.15,1,CC[O-].CC[O-].CC[O-].[As+3],gelest_metal-organics
3,BORON ALLYLOXIDE,304.15,1,C=CCOCC=C.[B],gelest_metal-organics
4,BORON n-BUTOXIDE,366.15,1,CCCC[O-].CCCC[O-].CCCC[O-].[B+3],gelest_metal-organics
5,BORON ETHOXIDE,284.15,1,CC[O-].CC[O-].CC[O-].[B+3],gelest_metal-organics
6,BORON ISOPROPOXIDE,301.15,1,CC(C)[O-].CC(C)[O-].CC(C)[O-].[B+3],gelest_metal-organics
7,BORON METHOXIDE,272.15,1,C[O-].C[O-].C[O-].[B+3],gelest_metal-organics
8,BORON METHOXYETHOXIDE,386.15,1,COC(C)[O-].COC(C)[O-].COC(C)[O-].[B+3],gelest_metal-organics
9,NICKEL DI-n-BUTYLDITHIOCARBAMATE,533.15,1,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Ni+2],gelest_metal-organics
10,NIOBIUM(V) n-BUTOXIDE,363.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Nb+5],gelest_metal-organics
11,NIOBIUM(V) ETHOXIDE,347.15,1,CC[O-].CC[O-].CC[O-].CC[O-].CC[O-].[Nb+5],gelest_metal-organics
12,TANTALUM(V) n-BUTOXIDE,339.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Ta+5],gelest_metal-organics
13,TANTALUM(V) ETHOXIDE,313.15,1,CC[O-].CC[O-].CC[O-].CC[O-].CC[O-].[Ta+5],gelest_metal-organics
14,TITANIUM n-BUTOXIDE,349.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Ti+4],gelest_metal-organics
15,TITANIUM CHLORIDE TRIISOPROPOXIDE,295.15,1,CC(C)[O-].CC(C)[O-].CC(C)[O-].[Cl-].[Ti+4],gelest_metal-organics
16,TITANIUM ETHOXIDE,301.15,1,CC[O-].CC[O-].CC[O-].CC[O-].[Ti+4],gelest_metal-organics
17,TITANIUM ETHOXIDE,303.15,1,CC[O-].CC[O-].CC[O-].CC[O-].[Ti+4],gelest_metal-organics
18,TITANIUM DIISOPROPOXIDE BIS(ETHYLACETOACETATE),300.15,1,CC(C)[O-].CC(C)[O-].CCCC(=O)CC(=O)[O-].CCCC(=O)CC(=O)[O-].[Ti+4],gelest_metal-organics
19,TITANIUM ISOBUTOXIDE,350.15,1,CC(C)C[O-].CC(C)C[O-].CC(C)C[O-].CC(C)C[O-].[Ti+4],gelest_metal-organics
20,TITANIUM ISOPROPOXIDE,298.15,1,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],gelest_metal-organics
21,TITANIUM METHOXIDE,321.15,1,C[O-].C[O-].C[O-].C[O-].[Ti+4],gelest_metal-organics
22,TITANIUM METHYLPHENOXIDE,339.15,1,Cc1ccccc1[O-].Cc1ccccc1[O-].Cc1ccccc1[O-].Cc1ccccc1[O-].[Ti+4],gelest_metal-organics
23,TITANIUM n-PROPOXIDE,318.15,1,CCC[O-].CCC[O-].CCC[O-].CCC[O-].[Ti+4],gelest_metal-organics
24,TITANIUM TRIISOSTEAROYLISOPROPOXIDE,366.15,1,CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].[Ti+4],gelest_metal-organics
25,ZIRCONIUM t-BUTOXIDE,358.15,1,CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].[Zr+4],gelest_metal-organics
26,CALCIUM 2-ETHYLHEXANOATE,400.15,1,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Ca+2],gelest_metal-organics
27,SILVER NEODECANOATE,375.15,1,CC(C)(C)CCCCCC(=O)[O-].[Ag+],gelest_metal-organics
28,ZINC 2-ETHYLHEXANOATE,400.15,1,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Zn+2],gelest_metal-organics
29,ZINC NEODECANOATE,375.15,1,CC(C)(C)CCCCCC(=O)[O-].CC(C)(C)CCCCCC(=O)[O-].[Zn+2],gelest_metal-organics
30,TITANIUM TETRACHLORIDE,377.15,1,Cl[Ti](Cl)(Cl)Cl,gelest_metal-organics
31,DIMETHYLALUMINUM CHLORIDE,255.15,1,C[Al](C)Cl,gelest_metal-organics
32,DIMETHYLISOPROPOXYALUMINUM,278.15,1,CC(C)O[Al](C)C,gelest_metal-organics
33,DIMETHYLCADMIUM,255.15,1,C[Cd]C,gelest_metal-organics
34,VINYLFERROCENE,335.15,1,C=C[c-]1cccc1.[Fe+2].c1cc[cH-]c1,gelest_metal-organics
35,TRIMETHYLGALLIUM,272.15,1,C[Ga](C)C,gelest_metal-organics
36,TRIS(DIMETHYLAMINO)GALLIUM,329.15,1,CN(C)[Ga](N(C)C)N(C)C,gelest_metal-organics
37,HAFNIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Hf+4],gelest_metal-organics
38,HAFNIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Hf+4],gelest_metal-organics
39,DICYCLOHEXYLPHOSPHINE,383.15,1,C1CCC(PC2CCCCC2)CC1,gelest_metal-organics
40,DIETHYLPHOSPHITE,363.15,1,CCOP([O-])OCC,gelest_metal-organics
41,DIPHENYLPHOSPHINE,383.15,1,c1ccc(Pc2ccccc2)cc1,gelest_metal-organics
42,DIPHENYLPHOSPHORYL AZIDE,385.15,1,[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1,gelest_metal-organics
43,TETRADECYL(TRIHEXYL)PHOSPHONIUM CHLORIDE,391.15,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],gelest_metal-organics
44,TRIETHYLPHOSPHATE,389.15,1,CCOP(=O)(OCC)OCC,gelest_metal-organics
45,TRIETHYLPHOSPHITE,327.15,1,CCOP(OCC)OCC,gelest_metal-organics
46,TRIMETHYLPHOSPHITE,300.15,1,COP(OC)OC,gelest_metal-organics
47,TRIOCTYLPHOSPHINE,420.15,1,CCCCCCCCP(CCCCCCCC)CCCCCCCC,gelest_metal-organics
48,TRIPHENYLPHOSPHINE,455.15,1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,gelest_metal-organics
49,TRIS(DIETHYLAMINO)(t-BUTYLIMINO) TANTALUM,319.15,1,CCN(CC)[Ta](=NC(C)(C)C)(N(CC)CC)N(CC)CC,gelest_metal-organics
50,TITANIUM TETRAKIS(DIETHYLAMIDE),310.15,1,CC[N-]CC.CC[N-]CC.CC[N-]CC.CC[N-]CC.[Ti+4],gelest_metal-organics
51,TITANIUM TETRAKIS(DIMETHYLAMIDE),281.15,1,C[N-]C.C[N-]C.C[N-]C.C[N-]C.[Ti+4],gelest_metal-organics
52,TITANIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Ti+4],gelest_metal-organics
53,ZIRCONIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Zr+4],gelest_metal-organics
54,TETRAETHYLLEAD,346.15,1,CC[Pb](CC)(CC)CC,gelest_metal-organics
55,TRIS(TRIMETHYLSILOXY)BORON,315.15,1,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,gelest_metal-organics
