,compound,flashpoint,pure substance,smiles,source
0,ACETOXYETHYLDIMETHYLCHLOROSILANE,336.15,1,CC(=O)OCC[Si](C)(C)Cl,gelest_silanes
1,ACETOXYETHYLMETHYLDICHLOROSILANE,338.15,1,CC(=O)OCC[Si](C)(Cl)Cl,gelest_silanes
2,ACETOXYETHYLTRICHLOROSILANE,355.15,1,CC(=O)OCC[Si](Cl)(Cl)Cl,gelest_silanes
3,ACETOXYETHYLTRIETHOXYSILANE,372.15,1,CCO[Si](CCOC(C)=O)(OCC)OCC,gelest_silanes
4,ACETOXYMETHYLTRIMETHYLSILANE,293.15,1,CC(=O)OC[Si](C)(C)C,gelest_silanes
5,3-ACETOXYPROPYLMETHYLDICHLOROSILANE,358.15,1,CC(=O)OCCC[Si](C)(Cl)Cl,gelest_silanes
6,3-ACETOXYPROPYLTRIMETHOXYSILANE,366.15,1,CO[Si](CCCOC(C)=O)(OC)OC,gelest_silanes
7,ACETOXYTRIMETHYLSILANE,277.15,1,CC(=O)O[Si](C)(C)C,gelest_silanes
8,ACETYLTRIMETHYLSILANE,281.15,1,CC(=O)[Si](C)(C)C,gelest_silanes
9,ACRYLOXYMETHYLTRIMETHOXYSILANE,335.15,1,C=CC(=O)OC[Si](OC)(OC)OC,gelest_silanes
10,(3-ACRYLOXYPROPYL)DIMETHYLMETHOXYSILANE,358.15,1,C=CC(=O)OCCC[Si](C)(C)OC,gelest_silanes
11,(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,396.15,1,C=CC(=O)OCCC[Si](OC)(OC)OC,gelest_silanes
12,(3-ACRYLOXYPROPYL)TRIS(TRIMETHYLSILOXY)SILANE,366.15,1,C=CC(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,gelest_silanes
13,ACRYLOXYTRIMETHYLSILANE,299.15,1,C=CC(=O)O[Si](C)(C)C,gelest_silanes
14,3-(N-ALLYLAMINO)PROPYLTRIMETHOXYSILANE,361.15,1,C=CCNCCC[Si](OC)(OC)OC,gelest_silanes
15,ALLYLAMINOTRIMETHYLSILANE,283.15,1,C=CCN[Si](C)(C)C,gelest_silanes
16,ALLYL(CHLOROMETHYL)DIMETHYLSILANE,300.15,1,C=CC[Si](C)(C)CCl,gelest_silanes
17,ALLYL(3-CHLOROPROPYL)DICHLOROSILANE,349.15,1,C=CC[Si](Cl)(Cl)CCCCl,gelest_silanes
18,ALLYLDICHLOROSILANE,269.15,1,C=CC[SiH](Cl)Cl,gelest_silanes
19,ALLYLDIMETHYL(DIISOPROPYLAMINO)SILANE,335.15,1,C=CC[Si](C)(C)N(C(C)C)C(C)C,gelest_silanes
20,ALLYLDIMETHYLSILANE,253.15,1,C=CC[SiH](C)C,gelest_silanes
21,ALLYL(4-METHOXYPHENYL)DIMETHYLSILANE,375.15,1,C=CC[Si](C)(C)c1ccc(OC)cc1,gelest_silanes
22,ALLYLMETHYLDICHLOROSILANE,300.15,1,C=CCC[SiH](Cl)Cl,gelest_silanes
23,ALLYLOXY-t-BUTYLDIMETHYLSILANE,305.15,1,C=CCO[Si](C)(C)C(C)(C)C,gelest_silanes
24,ALLYLOXYTRIMETHYLSILANE,273.15,1,C=CCO[Si](C)(C)C,gelest_silanes
25,ALLYLPHENYLDICHLOROSILANE,349.15,1,C=CC[Si](Cl)(Cl)c1ccccc1,gelest_silanes
26,ALLYLTRICHLOROSILANE,304.15,1,C=CC[Si](Cl)(Cl)Cl,gelest_silanes
27,ALLYLTRIETHOXYSILANE,320.15,1,C=CC[Si](OCC)(OCC)OCC,gelest_silanes
28,ALLYLTRIISOPROPYLSILANE,349.15,1,C=CC[Si](C(C)C)(C(C)C)C(C)C,gelest_silanes
29,ALLYLTRIMETHOXYSILANE,319.15,1,C=CC[Si](OC)(OC)OC,gelest_silanes
30,ALLYLTRIMETHYLSILANE,280.15,1,C=CC[Si](C)(C)C,gelest_silanes
31,ALLYLTRIS(TRIMETHYLSILOXY)SILANE,340.15,1,C=CC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,gelest_silanes
32,4-AMINOBUTYLTRIETHOXYSILANE,382.15,1,CCO[Si](CCCCN)(OCC)OCC,gelest_silanes
33,N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,363.15,1,CO[Si](C)(CCCNCCN)OC,gelest_silanes
34,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIETHOXYSILANE,421.15,1,CCO[Si](CCCNCCN)(OCC)OCC,gelest_silanes
35,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,423.15,1,CO[Si](CCCNCCN)(OC)OC,gelest_silanes
36,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,423.15,1,CO[Si](CCCNCCN)(OC)OC,gelest_silanes
37,AMINOMETHYLTRIMETHYLSILANE,282.15,1,C[Si](C)(C)CN,gelest_silanes
38,m-AMINOPHENYLTRIMETHOXYSILANE,453.15,1,CO[Si](OC)(OC)c1cccc(N)c1,gelest_silanes
39,p-AMINOPHENYLTRIMETHOXYSILANE,453.15,1,CO[Si](OC)(OC)c1ccc(N)cc1,gelest_silanes
40,AMINOPHENYLTRIMETHOXYSILANE,453.15,1,CO[Si](OC)(OCN)c1ccccc1,gelest_silanes
41,3-AMINOPROPYLDIMETHYLETHOXYSILANE,346.15,1,CCO[Si](C)(C)CCCN,gelest_silanes
42,3-AMINOPROPYLTRIETHOXYSILANE,377.15,1,CCO[Si](CCCN)(OCC)OCC,gelest_silanes
43,3-AMINOPROPYLTRIMETHOXYSILANE,356.15,1,CO[Si](CCCN)(OC)OC,gelest_silanes
44,3-AMINOPROPYLTRIMETHOXYSILANE,356.15,1,CO[Si](CCCN)(OC)OC,gelest_silanes
45,3-AMINOPROPYLTRIMETHYLSILANE,332.15,1,C[Si](C)(C)CCCN,gelest_silanes
46,3-AMINOPROPYLTRIS(METHOXYETHOXYETHOXY)SILANE,341.15,1,COCCOCCO[Si](CCCN)(OCCOCCOC)OCCOCCOC,gelest_silanes
47,(AZIDOMETHYL)TRIMETHYLSILANE,279.15,1,C[Si](C)(C)CN=[N+]=[N-],gelest_silanes
48,6-AZIDOSULFONYLHEXYLTRIETHOXYSILANE,387.15,1,CCO[Si](CCCCCCS(=O)(=O)N=[N+]=[N-])(OCC)OCC,gelest_silanes
49,N-BENZYLAMINOMETHYLTRIMETHYLSILANE,389.15,1,C[Si](C)(C)CNCc1ccccc1,gelest_silanes
50,BENZYLDIMETHYLCHLOROSILANE,346.15,1,C[Si](C)(Cl)Cc1ccccc1,gelest_silanes
51,BENZYLDIMETHYLSILANE,338.15,1,C[SiH](C)Cc1ccccc1,gelest_silanes
52,N-BENZYL-N-METHOXYMETHYL-N-(TRIMETHYLSILYLMETHYL)AMINE,339.15,1,COCN(Cc1ccccc1)C[Si](C)(C)C,gelest_silanes
