,compound,flashpoint,pure substance,smiles,source
3871,ALLYLTRI-n-BUTYLTIN,376.15,1.0,C=CC[Sn](CCCC)(CCCC)CCCC,gelest_tin
3872,BIS[BIS(TRIMETHYLSILYL)AMINO]TIN(II),329.15,1.0,C[Si](C)(C)N([Sn]N([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,gelest_tin
3873,t-BUTYLTRI n-BUTYLTIN,375.15,1.0,CCCC[Sn](CCCC)(CCCC)C(C)(C)C,gelest_tin
3874,CHLOROMETHYLTRIMETHYLTIN,312.15,1.0,C[Sn](C)(C)CCl,gelest_tin
3875,DIALLYLDI-n-BUTYLTIN,374.15,1.0,C=CC[Sn](CC=C)(CCCC)CCCC,gelest_tin
3876,DI-n-BUTYLDIACETOXYTIN,416.15,1.0,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,gelest_tin
3877,DI-n-BUTYLDI-n-BUTOXYTIN,389.15,1.0,CCCCO[Sn](CCCC)(CCCC)OCCCC,gelest_tin
3878,DI-n-BUTYLDICHLOROTIN,441.15,1.0,CCCC[Sn](Cl)(Cl)CCCC,gelest_tin
3879,DI-t-BUTYLDICHLOROTIN,386.15,1.0,CC(C)(C)[Sn](Cl)(Cl)C(C)(C)C,gelest_tin
3880,DI-n-BUTYLDIMETHOXYTIN,383.15,1.0,CCCC[Sn](CCCC)(OC)OC,gelest_tin
3881,DIMETHYLAMINOTRI-n-BUTYLTIN,388.15,1.0,CCCC[Sn](CCCC)(CCCC)N(C)C,gelest_tin
3882,DIMETHYLAMINOTRIMETHYLTIN,274.15,1.0,CN(C)[Sn](C)(C)C,gelest_tin
3883,DIOCTYLDICHLOROTIN,477.15,1.0,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,gelest_tin
3884,DIOCTYLDILAURYLTIN,471.15,1.0,CCCCCCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCCCCCC,gelest_tin
3885,DIVINYLDICHLOROTIN,477.15,1.0,C=C[Sn](Cl)(Cl)C=C,gelest_tin
3886,1-ETHOXYVINYLTRI-n-BUTYLTIN,386.15,1.0,C=C(OCC)[Sn](CCCC)(CCCC)CCCC,gelest_tin
3887,ETHYNYLTRI-n-BUTYLTIN,346.15,1.0,C#C[Sn](CCCC)(CCCC)CCCC,gelest_tin
3888,PHENYLETHYNYLTRI-n-BUTYLTIN,386.15,1.0,CCCC[Sn](C#Cc1ccccc1)(CCCC)CCCC,gelest_tin
3889,PHENYLTRI-n-BUTYLTIN,380.15,1.0,CCCC[Sn](CCCC)(CCCC)c1ccccc1,gelest_tin
3890,PHENYLTHIOTRI-n-BUTYLTIN,377.15,1.0,CCCC[Sn](CCCC)(CCCC)Sc1ccccc1,gelest_tin
3891,TETRAALLYLTIN,348.15,1.0,C=CC[Sn](CC=C)(CC=C)CC=C,gelest_tin
3892,TETRABUTYLDILAURYLDISTANNOXANE,504.15,1.0,CCCCCCCCCCCC[Sn](CCCC)(CCCCCCCCCCCC)O[Sn](CCCC)(CCCC)CCCC,gelest_tin
3893,TETRA-n-BUTYLTIN,274.15,1.0,CCCC[Sn](CCCC)(CCCC)CCCC,gelest_tin
3894,TETRA-n-BUTYLTIN,380.15,1.0,CCCC[Sn](CCCC)(CCCC)CCCC,gelest_tin
3895,TETRAETHYLTIN,326.15,1.0,CC[Sn](CC)(CC)CC,gelest_tin
3896,TETRAKIS(DIETHYLAMINO)TIN,312.15,1.0,CCN(CC)[Sn](N(CC)CC)(N(CC)CC)N(CC)CC,gelest_tin
3897,TETRAMETHYLTIN,261.15,1.0,C[Sn](C)(C)C,gelest_tin
3898,TETRAMETHYLTIN,261.15,1.0,C[Sn](C)(C)C,gelest_tin
3899,TETRA-n-OCTYLTIN,367.15,1.0,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,gelest_tin
3900,TETRAPHENYLTIN,504.15,1.0,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,gelest_tin
3901,TETRAVINYLTIN,313.15,1.0,C=C[Sn](C=C)(C=C)C=C,gelest_tin
3902,2-THIENYLTRI-n-BUTYLTIN,379.15,1.0,CCCC[Sn](CCCC)(CCCC)c1cccs1,gelest_tin
3903,TRI-n-BUTYLACETOXYTIN,393.15,1.0,CCCCC(CCCC)(CCCC)C(=O)O[Sn],gelest_tin
3904,TRI-n-BUTYLCHLOROTIN,393.15,1.0,CCCC[Sn](Cl)(CCCC)CCCC,gelest_tin
3905,TRI-n-BUTYLETHOXYTIN,377.15,1.0,CCCC[Sn](CCCC)(CCCC)OCC,gelest_tin
3906,TRI-n-BUTYLIODOTIN,386.15,1.0,CCCC[Sn](I)(CCCC)CCCC,gelest_tin
3907,TRI-n-BUTYLMETHOXYTIN,371.15,1.0,CCCC[Sn](CCCC)(CCCC)OC,gelest_tin
3908,TRI-n-BUTYLTIN HYDRIDE,313.15,1.0,CCCC[SnH](CCCC)CCCC,gelest_tin
3909,TRICYCLOHEXYLTIN HYDRIDE,378.15,1.0,C1CCC([SnH](C2CCCCC2)C2CCCCC2)CC1,gelest_tin
3910,TRIETHYLBROMOTIN,372.15,1.0,CC[Sn](Br)(CC)CC,gelest_tin
3911,TRIMETHYLCHLOROTIN,370.15,1.0,C[Sn](C)(C)Cl,gelest_tin
3912,TRIPHENYLCHLOROTIN,343.15,1.0,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,gelest_tin
