compound,smiles,flashpoint,pure substance,source
ALLYLTRICHLOROGERMANE,C=CC[Ge](Cl)(Cl)Cl,328.15,1,gelest_germanium
ALLYLTRIETHYLGERMANE,C=CC[Ge](CC)(CC)CC,321.15,1,gelest_germanium
ALLYLTRIMETHYLGERMANE,C=CC[Ge](C)(C)C,274.15,1,gelest_germanium
BIS(CHLOROMETHYL)DIMETHYLGERMANE,C[Ge](C)(CCl)CCl,324.15,1,gelest_germanium
t-BUTYLDIMETHYLCHLOROGERMANE,CC(C)(C)[Ge](C)(C)Cl,307.15,1,gelest_germanium
n-BUTYLTRICHLOROGERMANE,CCCC[Ge](Cl)(Cl)Cl,355.15,1,gelest_germanium
DI-n-BUTYLDICHLOROGERMANE,CCCC[Ge](Cl)(Cl)CCCC,380.15,1,gelest_germanium
DICHLOROMETHYLTRIMETHYLGERMANE,C[Ge](C)(C)C(Cl)Cl,306.15,1,gelest_germanium
DIETHYLDICHLOROGERMANE,CC[Ge](Cl)(Cl)CC,325.15,1,gelest_germanium
DIMETHYLAMINOTRIMETHYLGERMANE,CN(C)[Ge](C)(C)C,263.15,1,gelest_germanium
DIPHENYLDICHLOROGERMANE,Cl[Ge](Cl)(c1ccccc1)c1ccccc1,433.15,1,gelest_germanium
DIPHENYLGERMANE,c1ccc([GeH2]c2ccccc2)cc1,377.15,1,gelest_germanium
ETHYLTRICHLOROGERMANE,CC[Ge](Cl)(Cl)Cl,324.15,1,gelest_germanium
HEXAMETHYLDIGERMANE,C[Ge](C)(C)[Ge](C)(C)C,287.15,1,gelest_germanium
METHACRYLOXYMETHYLTRIMETHYLGERMANE,C=C(C)C(=O)OC[Ge](C)(C)C,336.15,1,gelest_germanium
METHYLTRICHLOROGERMANE,C[Ge](Cl)(Cl)Cl,283.15,1,gelest_germanium
METHYLTRIETHOXYGERMANE,CCO[Ge](C)(OCC)OCC,313.15,1,gelest_germanium
TETRAALLYLGERMANE,C=CC[Ge](CC=C)(CC=C)CC=C,343.15,1,gelest_germanium
TETRA-n-BUTOXYGERMANE,CCCCO[Ge](OCCCC)(OCCCC)OCCCC,385.15,1,gelest_germanium
TETRA-n-BUTYLGERMANE,CCCC[Ge](CCCC)(CCCC)CCCC,363.15,1,gelest_germanium
TETRAETHOXYGERMANE,CCO[Ge](OCC)(OCC)OCC,335.15,1,gelest_germanium
TETRAETHYLGERMANE,CC[Ge](CC)(CC)CC,315.15,1,gelest_germanium
TETRAKIS(DIMETHYLAMINO)GERMANE,CN(C)[Ge](N(C)C)(N(C)C)N(C)C,307.15,1,gelest_germanium
TETRAISOPROPOXYGERMANE,CC(C)O[Ge](OC(C)C)(OC(C)C)OC(C)C,341.15,1,gelest_germanium
TETRAMETHOXYGERMANE,CO[Ge](OC)(OC)OC,307.15,1,gelest_germanium
TETRAMETHYLGERMANE,C[Ge](C)(C)C,254.14999999999998,1,gelest_germanium
TRI-n-BUTYLCHLOROGERMANE,CCCC[Ge](Cl)(CCCC)CCCC,367.15,1,gelest_germanium
TRI-n-BUTYLGERMANE,CCCC[GeH](CCCC)CCCC,351.15,1,gelest_germanium
TRICHLOROGERMANE,Cl[GeH](Cl)Cl,285.15,1,gelest_germanium
TRIETHYLCHLOROGERMANE,CC[Ge](Cl)(CC)CC,311.15,1,gelest_germanium
TRIETHYLGERMANE,CC[GeH](CC)CC,278.15,1,gelest_germanium
TRIISOPROPYLCHLOROGERMANE,CC(C)[Ge](Cl)(C(C)C)C(C)C,339.15,1,gelest_germanium
TRIMETHYLBROMOGERMANE,C[Ge](C)(C)Br,310.15,1,gelest_germanium
TRIMETHYLCHLOROGERMANE,C[Ge](C)(C)Cl,274.15,1,gelest_germanium
VINYLTRIETHYLGERMANE,C=C[Ge](CC)(CC)CC,305.15,1,gelest_germanium
