compound,flashpoint
Ethylene,-136
Ethane,-135.15
Methylamine,-62.15
Methanol,11.111
Acrylonnitrile107131,0
12propadiene,-101.15
1propyne,-88
Acetonitrile,2
Cyanamide,1.2
Propene,-108
Cyclopropane,-95.15
Propene,-108.15
Aziridine151564,-11.1
Acetaldehyde75070,-27
propane,-104
Formamide,175
Monoethylamine,-17
Dimethylamine,-18.15
Ethylamine,-17.15
Formicacid,68.85
Dimethylether115106,-41
ethanol64175,13
"Hydrazine, methyl-",21
Methyl hydroperoxide,1.1
Methanethiol,-18.15
2propenenitrile0oC,0
13butadiene,-76.15
1butyne-63oC,-63
2butyne-49oC,-49
Propiononitrile,6
2propenal107028,-18.9
2propyn1ol,32.85
2-aminoacetonitrile,53.1
(Z)-but-2-ene,-72.8
1butene,-80.15
Cyclobutane,-65.15
Isobutene,-76.15
"Acetonitrile, hydroxy-",56.1
Hydroxyacetonitrile115oC,115
MethylIsocyanate624839,-18
Cyclopropanamine,1
2-Propen-1-amine,-28
2methylaziridine-10oC,-10
Allylamine107119,-29
Cyclopropylamine,-25.15
Trimethylene oxide (8CI),-20
2propene1ol,20.85
Acetone67641,-20
Allylalcohol107186,21
Propionaldehyde123386,-30
PropyleneOxide,-37.15
"Acetaldehyde, oxime",40
Acetamide125oC,125
Nmethylformamide,111
Isopropylamine75310,-17
propylamine,-26.15
Trimethylamine,-6.15
Aceticacid64197,39
hydroxyacetaldehyde87oC,87
Methylformate107313,-19
Hydrazinecarboxaldehyde,112
Urea57136flash72,72
Isopropyl alcohol,11.667
1propranol71238,15
2propanol67630,12
Ethylmethylether540670,-37.2
"Hydrazine, 1,1-dimethyl-",1.1
12ethanediamine,33.85
Ethylene sulfide,10
EthylSilane-60oC,-60
"Methane, nitro-",35
"Ethanol, 2-amino-",93.3
carbonic acid,169.8
"Hydroperoxide, ethyl",11.3
Ethylene glycol,108.2
12ethanediol,110.85
Dimethylsulfide75183,-36
Ethanethiol75081,-17
"Ethylene, chloro-",-17.8
"Ethanol, 2-fluoro-",31.1
Ethylchloride75003,-43
Malonic dinitrile,112.222
13cyclopentadiene,24.85
1pentene3yne-30oC,-30
1pentene4yne-44oC,-44
2methyl1butene3yne-52oC,-52
"2-Propenenitrile, 2-methyl-",12
"Isocrotononitrile (6CI,7CI)",20
2-Butenenitrile,16
3butenenitrile109751,21
Cyclopropanecarbonitrile5500210,32.8
Methacrylonitrile,0.85
Pyrrole,32.85
but-3-yn-2-one,-1
Furan,-35.15
1H-Imidazole,145
1Hpyrazole82oC,82
12pentadiene-40oC,-40
13pentadiene-42oC,-42
14pentadiene,3.85
1pentyne,-34.15
23pentadiene-37oC,-37
2methyl13butendiene,-48.15
2pentyne,-30.15
3methyl12butadiene-12oC,-12
3methyl1butyne-52oC,-52
Cyclopentene,-0.15
Isoprene78795,-54
"1,2-oxazole",8.9
"1,3-oxazole",18.889
2H-triazole,107
"1H-1,2,4-Triazole",139.1
"Propanenitrile, 2-methyl-",8
Butanenitrile,16
"2,5-dihydro-1H-pyrrole",5.8
"2-Propyn-1-amine, N-methyl-",0.6
Butyronitrile109740,16.7
Isobutyronitrile78820,7.85
2-Propynoic acid,58.9
"2-Propenal, 2-methyl-",-15
But-2-yn-1-ol,51
But-3-yn-1-ol,36
ethynoxyethane,9
cyclobutanone,10
"2,3-dihydrofuran",-24
"2,5-dihydrofuran",-16.7
Crotonaldehyde,8.9
1-Butyn-3-ol,25.6
23dihydrofuran,-24.15
25dihydrofuran-16oC,-16
2butenal,12.85
Crotonaldehyde123739,13
Cyclobutanone,9.85
Isobutenal78853,-0.15
Methacrolein78853,-15
Methylvinylketone78944,-7
"Cyanamide, dimethyl-",58.3
"Propanenitrile, 3-amino-",66.5
1-Pentene,-28
2methyl1butene,-34.15
2methyl2butene,-45.15
2pentene-47oC,-47
3methyl1butene,-56.15
Cyclopentane287923,-37
2-Propenamide,79
2-methoxyacetonitrile,31.7
"2-Propenal, oxime",30.564
3hydroxypropanenitrile,128.85
Pyrrolidine,2.778
N-methylprop-2-en-1-amine,-28.3
Cyclobutylamine,-4.15
Pyrrolidine123751,2.8
Propiolactone,70
Malondialdehyde,28.9
"Formic acid, ethenyl ester",16
2-Propenoic acid,68
"Butane, 1,2-epoxy-",-22
"Furan, tetrahydro-",-21
Isopropenyl methyl ether,-29
"2-Propen-1-ol, 2-methyl-",33
"Propane, 1,2-epoxy-2-methyl-",0.6
3-methoxyprop-1-ene,-23
"(2R,3S)-2,3-dimethyloxirane",-21.7
cyclobutanol,21
2-Buten-1-ol,37
"Propanal, 2-methyl-",-24
Methyl ethyl ketone,9
3-Buten-2-ol,16.7
3-Buten-1-ol,32.2
23dimethyloxirane3266237,-15
