compound,flashpoint
(4-bromophenyl)urea,129.7
[dimethyl(trimethylsilyloxy)silyl]oxy-dimethyl-trimethylsilyloxysilane,88.1
"1,1,3,3-tetraethylurea",87
"1,1,3-trimethylurea",94.4
"1,2-dihydroAcenaphthalene120oC",120
"1,2-Dithiolane-3-pentanamide (9CI)",195.2
"1,3-Benzenedisulfonamide, 4,5-dichloro-",310.9
"1,3-diethylurea",121.1
"1,3-dimethyl-1,3-diphenylurea",142.6
"1,3-dipropylurea",122.3
"1,4-Oxathiin-3-carboxamide, 5,6-dihydro-2-methyl-N-phenyl-",208.2
"1,4-Oxathiin-3-carboxamide, 5,6-dihydro-2-methyl-N-phenyl-, 4,4-dioxid",272.9
110decanediol152oC,152
1112tetrachloroethane,46.85
111trichloroethane,-1.15
111trifluoropropylTrichloroSilane15oC,15
112trichloroethane,31.85
11333pentakisDimethylaminoDiphosphazeneCAS91241122flashp168oC,168
1133tetramethylDisiloxane-22oC,-22
11bicyclohexyl74oC,74
11biphenyl44diamine248oC,248
11biphenyl4amine153oC,153
11dichloroethane,-6.15
11dichloroethylene,-25.15
11dichloropropane,6.85
11diethoxyethane,-21.15
11dimethoxyethane,-17.15
11dimethyl1sila2oxacyclohexane14oC,14
11ethanediolDiacetate64oC,64
11iminobis2propranol124oC,124
11oxybisbenzene96oC,96
1234tetrahydronaphthalene119642,76.85
1234tetramethylBenzene68oC,68
1235tetraethylBenzene103oC,103
1235tetramethylbenzene63oC,63
123benzenetriol185oC,185
123butanetriol201oC,201
123propanetriol160oC,160
123propanetriolTriacetate138oC,138
123trichloroBenzene113oC,113
123triethylBenzene79oC,79
123trimethyl1Hindene87oC,87
123trimethylbenzene,47.85
1245benzenetetracarboxylicAcid324oC,324
124butanetriol167oC,167
124trichloroBenzene106oC,106
124triethylBenzene80oC,80
124trimethylbenzene,47.85
12benzendiol127oC,127
12benzenediamine156oC,156
12benzenedicarboxylicAcid204oC,204
12butanediol,92.85
12cyclohexanedione,83.85
12dibromoethyltrichlorosilane65oC,65
12dichloro4nitroBenzene123oC,123
12dichlorobenzene,66.85
12dichlorobutane,25.85
12dichloroethane,12.85
12dichloropropane,15.85
12diethoxyethane629141,35
12diethylBenzene57oC,57
12dimethoxyethane110714,-1.7
12dimethyl3propylBenzene72oC,72
12dimethylbenzene,31.85
12dimethylcyclohexane,14.85
12dinitro4methylBenzene180oC,180
12dinitroBenzene150oC,150
12ethanediamine,33.85
12ethanediol,110.85
12ethanediolDiacetate88oC,88
12ethanedithiol,49.85
12hexadiene-20oC,-20
12pentadiene-40oC,-40
12propadiene,-101.15
12propanediamine,32.85
12propanediol,106.85
1357cyclooctatetraene,21.85
1357tetramethylCyclotetrasiloxane31oC,31
135triazine246triamine297oC,297
135trichloroBenzene127oC,127
135trimethylBenzene44oC,44
135trioxane45oC,45
13benzendiol127oC,127
13benzenediamine138oC,138
13bis1methylethylBenzene77oC,77
13butadiene,-76.15
13butanediol107880,120.85
13cyclohexadiene,25.85
13cyclopentadiene,24.85
13dibromoBenzene93oC,93
13dichloro2butene27oC,27
13dichloro2propanol85oC,85
13dichloroBenzene72oC,72
13dichloropropane,19.85
13dichloroTetramethylDisiloxane15oC,15
13diethenylBenzene65oC,65
13diethylBenzene56oC,56
13diisopropylbenzene99627,75.85
13dimethyl3phenylUreaCAS101428flash153,153
13dimethylBenzene25oC,25
13dimethylbutylamine108098,12.8
13dimethylcyclohexane,4.85
13dinitroBenzene150oC,150
13dioxane1oC,1
13dioxolane646060,1.85
13divinylTetramethylDisilazane34oC,34
13hexadieneFP-19oC,-19
13isobenzofurandione152oC,152
13pentadiene-42oC,-42
13propanediamine,47.85
13propanediol,130.85
14benzenediamine156oC,156
14benzenedicarboxaldehyde121oC,121
14benzenedicarboxylicacid260oC,260
14benzenediol165oC,165
14bis1methylethylBenzene81oC,81
14butanediol142621,121.1
14cyclohexadiene,-6.15
14cyclohexanedimethanol161oC,161
14diazabicyclo222octane62oC,62
14dichloro2butene53oC,53
14dichlorobenzene66oC,66
14dichlorobutane,39.85
14dicyanobutane111693,158.85
14diethylbenzene,55.85
14diisopropylbenzene100185,75.85
14dimethylbenzene,24.85
14dimethylcyclohexane,9.85
14dinitroBenzene160oC,160
14dioxane123911,12
14divinylTetramethylDisilylEthane40oC,40
14hexadiene592450,-21
14pentadiene,3.85
14thioxane15980151,42.2
159cyclododecatriene87oC,87
15cyclooctadiene,31.85
15dichloropentane,25.85
15hexadiene,-27.15
15pentanediamine62oC,62
15pentanediol,128.85
15pentanedithiol,94.85
16heptadiene,-10.15
16heptadiyne2396636,8.85
16hexanediamine93oC,93
16hexanediol,146.85
17octadiene,8.85
17octadiyne,22.85
18nonadiene,25.85
18nonadiyne,40.85
19decadiene43oC,43
1amino2propanol78966,77.2
"1-Aziridineacetamide, N,N'-1,8-octanediylbis- (9CI)",287.3
1bromo4methylBenzene85oC,85
1bromobutane109659,23.9
1bromoheptane629049,60.6
1bromohexane111251,57.2
1bromooctane111831,78.3
1bromopentane110532,31
1bromopropane106945,25
1bromovinylTrimethylSilane15oC,15
1butanethiol109795,1.7
1butanol71363,29
1butene,-80.15
1butyne-63oC,-63
1chloro24dinitrobenzene97007,194
1chloro2methylBenzene51oC,51
1chloro2methylpropane,20.85
1chloro2nitroBenzene127oC,127
1chloro3nitroBenzene127oC,127
1chloro4ethylbenzene622980,64
1chloro4methylBenzene52oC,52
1chloro4nitroBenzene127oC,127
1chlorobutane,-6.15
1chloroethyltrichlorosilane15oC,15
1chloroheptane,40.85
1chlorohexane544105,35
1chlorononamethylTetrasiloxane74oC,74
1chlorononane,73.85
1chlorooctane111853,70
1chloropentane,40.85
1chloropropane,-18.15
1cyclopropylethanone,12.85
1decanamine,85.85
1decanethiol,97.85
1decanol112301,82
1decene,47
1decyne,49.85
1dodecanal101oC,101
1dodecanamine109oC,109
1dodecanethiol112550,87.8
1dodecanol,126.85
1dodecene,76.85
1eicosanol194oC,194
1eicosene167oC,167
1ethenyl2ethylBenzene58oC,58
1ethenyl2methyl47oC,47
1ethenyl3ethylBenzene60oC,60
1ethenyl3methylBenzene51oC,51
1ethenyl4ethylBenzene61oC,61
1ethenyl4methylBenzene46oC,46
1ethoxy2propanol42oC,42
1ethoxy2propanolAcetate54oC,54
1ethoxybutane,-5.15
1ethyl1methylcyclopentane,5.85
1ethyl23dimethylBenzene65oC,65
1ethyl24dimethylBenzene57oC,57
1ethyl2methylBenzene39oC,39
1ethyl35dimethylbenzene53oC,53
1ethyl3methylBenzene38oC,38
1ethyl4methylBenzene36oC,36
1ethylpiperidine,17.85
1fluoroheptane,12.85
1heptadecanol168oC,168
1heptadecene135oC,135
1heptanamine35oC,35
1heptanethiol1639094,41
1heptanol111706,73
1heptene,-8.15
1heptyne,-2.15
1heptynylTrimethylSilane42oC,42
1hexadecanol154oC,154
1hexadecene,131.85
1hexanethiol111319,20.6
"1-Hexanol, 2-ethyl-, dihydrogen phosphate (7CI)",148.4
1hexanol11273,60
1hexene,-26.15
1hexenylTrichloroSilane60oC,60
1hexyne,-20.15
"1H-Imidazole-4-carboxamide, 5-(3,3-bis(2-chloroethyl)-1-triazenyl)- (9",204.9
"1H-Imidazole-4-carboxamide, 5-(3,3-dimethyl-1-triazenyl)-",229.7
1Hindene55oC,55
1Hpyrazole82oC,82
1iodo3methylbenzene,81.85
1iodobutane542698,33
1iodoheptane4282400,78.9
1iodohexane638459,61
1iodopentane,42.85
1isopropoxy2propanol36oC,36
1methoxy2propaneamine8oC,8
1methoxy2propanol,37.85
1methoxy2propanol32oC,32
1methoxy2propanone20oC,20
1methoxy2propoxyTrimethylSilane20oC,20
1methoxybutane,-10.15
1methyl1Hindene65oC,65
1-Methyl-1-phenylthiourea,115.3
1methyl24dinitroBenzene207oC,207
1methyl2nitroBenzene106oC,106
1methyl2propylBenzene53oC,53
1methyl2pyrrolidinone,85.85
1methyl35dinitroBenzene170oC,170
1methyl3nitroBenzene102oC,102
1methyl3propylBenzene52oC,52
1methyl4nitroBenzene106oC,106
1methylcyclohexene,-3.15
1methylcyclopentene,-17.15
1methylethylBenzene31oC,31
1methylnaphthalene,81.85
1methylpropylBenzene52oC,52
1methylpropylCyclohexane46o,46
1methylpyrrole,14.85
1methylpyrrolidine,-18.15
"1-Naphthaleneacetamide, alpha-(2-(dimethylamino)ethyl)-alpha-isopropyl",245.7
1nitroaphtalene86577,164
1nitropropane108032,35.6
1nonadecanol185oC,185
1nonadecene157oC,157
1nonanamine62oC,62
1nonanethiol78oC,78
1nonanol143088,75
1nonyne33oC,33
1octadecanol177oC,177
1octadecene,147.85
1octanal124130,52
1octanethiol111886,68
1octanol111875,81
1octene,12.85
1octyne-14oC,-14
1pentadecanol151oC,151
1pentadecene112oC,112
1pentanethiol110667,18.3
1pentanol71410,33
1pentene,-0.15
1pentene3yne-30oC,-30
1pentene4yne-44oC,-44
1pentyne,-34.15
1phenyl1butanone,87.85
1phenylheptane1078713,95
1phenylhexane1077163,83
1phenyloctane2189608,107
"1-Piperazineacetamide, 4-(4,4-bis(4-fluorophenyl)butyl)-N-(2,6-dimethy",336.4
1piperazineEthanamine93oC,93
1piperazineEthanol124oC,124
1propanesulfonylchloride80oC,80
1propanethiol107039,-20.6
"1-Propanol, 2,3-dibromo-, hydrogen phosphate (ester)",230.6
"1-Propanol, 2,3-dibromo-, phosphate (3:1)",282.9
