compound,flashpoint,pure substance,smiles,source
tetramethylsilane,246.15,1,C[Si](C)(C)C,pubchem
chloro(trimethyl)silane,255.15,1,C[Si](C)(C)Cl,pubchem
dichloro(dimethyl)silane,264.15,1,C[Si](C)(Cl)Cl,pubchem
trichloro(methyl)silane,264.15,1,C[Si](Cl)(Cl)Cl,pubchem
trichloro(ethenyl)silane,294.15,1,C=C[Si](Cl)(Cl)Cl,pubchem
tetraethyl silicate,310.15,1,CCO[Si](OCC)(OCC)OCC,pubchem
dichloro(diphenyl)silane,415.15,1,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,pubchem
trichloro(phenyl)silane,364.15,1,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,pubchem
trichloro(prop-2-enyl)silane,308.15,1,C=CC[Si](Cl)(Cl)Cl,pubchem
trichloro(pentyl)silane,336.15,1,CCCCC[Si](Cl)(Cl)Cl,pubchem
trichloro(octadecyl)silane,362.15,1,CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,pubchem
trichloro(ethyl)silane,295.15,1,CC[Si](Cl)(Cl)Cl,pubchem
trichloro(propyl)silane,310.15,1,CCC[Si](Cl)(Cl)Cl,pubchem
dichloro-methyl-phenylsilane,301.15,1,C[Si](C1=CC=CC=C1)(Cl)Cl,pubchem
"2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane",364.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,pubchem
"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",346.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,pubchem
"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",328.15,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,pubchem
tetramethyl silicate,369.15,1,CO[Si](OC)(OC)OC,pubchem
3-triethoxysilylpropan-1-amine,371.15,1,CCO[Si](CCCN)(OCC)OCC,pubchem
[dimethyl-(trimethylsilylamino)silyl]methane,282.15,1,C[Si](C)(C)N[Si](C)(C)C,pubchem
trichloro(chloromethyl)silane,342.15,1,C([Si](Cl)(Cl)Cl)Cl,pubchem
dichloro(diethyl)silane,297.15,1,CC[Si](CC)(Cl)Cl,pubchem
3-trimethoxysilylpropyl 2-methylprop-2-enoate,365.15,1,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,pubchem
trichloro(hexadecyl)silane,419.15,1,CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,pubchem
butyl(trichloro)silane,325.15,1,CCCC[Si](Cl)(Cl)Cl,pubchem
dimethyl-bis(trimethylsilyloxy)silane,408.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,pubchem
trimethyl(trimethylsilyloxy)silane,243.15,1,C[Si](C)(C)O[Si](C)(C)C,pubchem
trimethyl-[methyl-bis(trimethylsilyloxy)silyl]oxysilane,359.15,1,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,pubchem
trichloro(cyclohexyl)silane,364.15,1,C1CCC(CC1)[Si](Cl)(Cl)Cl,pubchem
dimethyl-octadecyl-(3-trimethoxysilylpropyl)azanium;chloride,288.15,1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC.[Cl-],pubchem
InChI=1S/Cl3Si/c1-4(2)3,259.15,1,[Si](Cl)(Cl)Cl,pubchem
"trichloro-(3,4-dichlorophenyl)silane",414.15,1,C1=CC(=C(C=C1[Si](Cl)(Cl)Cl)Cl)Cl,pubchem
InChI=1S/C2H6ClSi/c1-4(2)3/h1-2H3,264.15,1,C[Si](C)Cl,pubchem
InChI=1S/Cl2Si/c1-3-2,245.15,1,[Si](Cl)Cl,pubchem
"InChI=1S/C2H5Cl2Si/c1-2-5(3)4/h2H2,1H3",272.15,1,CC[Si](Cl)Cl,pubchem
InChI=1S/CH3Cl2Si/c1-4(2)3/h1H3,247.15,1,C[Si](Cl)Cl,pubchem
"InChI=1S/C6H15O3Si/c1-4-7-10(8-5-2)9-6-3/h4-6H2,1-3H3",300.15,1,CCO[Si](OCC)OCC,pubchem
InChI=1S/CH3ClSi/c1-3-2/h1H3,264.15,1,C[Si]Cl,pubchem
ethoxy(trioxido)silane,310.15,1,CCO[Si]([O-])([O-])[O-],pubchem
Trichlorosilane,245.15,1,Cl[SiH](Cl)Cl,chen14
Methyltrichlorosilane,276.15,1,C[Si](Cl)(Cl)Cl,chen14
Vinyltrichlorosilane,294.15,1,C(=C)[Si](Cl)(Cl)Cl,chen14
Dichloromethylmethyldichlorosilane,301.15,1,ClC(Cl)[Si](Cl)(Cl)C,chen14
