,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
12935,13355,Propane,169.0,1.0,CCC,pan07
12936,13356,Butane,213.0,1.0,CCCC,pan07
12937,13357,Pentane,224.0,1.0,CCCCC,pan07
12938,13358,"2,2-Dimethylpropane",208.0,1.0,CC(C)(C)C,pan07
12939,13359,Hexane,250.0,1.0,CCCCCC,pan07
12940,13360,"2,2-Dimethylbutane",225.0,1.0,CCC(C)(C)C,pan07
12941,13361,"2,3-Dimethylbutane",244.0,1.0,CC(C)C(C)C,pan07
12942,13362,Heptane,269.0,1.0,CCCCCCC,pan07
12943,13363,"3,3-Dimethylpentane",254.0,1.0,CCC(C)(C)CC,pan07
12944,13364,"2,4-Dimethylpentane",261.0,1.0,CC(C)CC(C)C,pan07
12945,13365,3-Ethylpentane,255.0,1.0,CCC(CC)CC,pan07
12946,13366,"2,2-Dimethylpentane",250.0,1.0,CCCC(C)(C)C,pan07
12947,13367,"2,2,4-Trimethylpentane",261.0,1.0,CC(C)CC(C)(C)C,pan07
12948,13368,"2,2,3-Trimethylpentane",270.0,1.0,CCC(C)C(C)(C)C,pan07
12949,13369,3-Methyl-3-ethylpentane,276.0,1.0,CCC(C)(CC)CC,pan07
12950,13370,3-Ethylhexane,278.0,1.0,CCCC(CC)CC,pan07
12951,13371,3-Methylheptane,279.0,1.0,CCCCC(C)CC,pan07
12952,13372,"3,3-Dimethylhexane",272.0,1.0,CCCC(C)(C)CC,pan07
12953,13373,"2,3-Dimethylhexane",283.0,1.0,CCCC(C)C(C)C,pan07
12954,13374,"2,4-Dimethylhexane",283.0,1.0,CCC(C)CC(C)C,pan07
12955,13375,"2,5-Dimethylhexane",271.0,1.0,CC(C)CCC(C)C,pan07
12956,13376,Nonane,304.0,1.0,CCCCCCCCC,pan07
12957,13377,"3,4-Dimethylheptane",288.0,1.0,CCCC(C)C(C)CC,pan07
12958,13378,"2,3-Dimethylheptane",288.0,1.0,CCCCC(C)C(C)C,pan07
12959,13379,"2,6-Dimethylheptane",299.0,1.0,CC(C)CCCC(C)C,pan07
12960,13380,"2,3-Dimethyl-3-ethylpentane",288.0,1.0,CCC(C)(CC)C(C)C,pan07
12961,13381,"2,2,5-Trimethylhexane",286.0,1.0,CC(C)CCC(C)(C)C,pan07
12962,13382,3-Methyloctane,297.0,1.0,CCCCCC(C)CC,pan07
12963,13383,"2,2,3,4-Tetramethylpentane",284.0,1.0,CC(C)C(C)C(C)(C)C,pan07
12964,13384,"2,2,4,4-Tetramethylpentane",276.0,1.0,CC(C)(C)CC(C)(C)C,pan07
12965,13385,4-Ethylheptane,288.0,1.0,CCCC(CC)CCC,pan07
12966,13386,"2,2-Dimethylheptane",297.0,1.0,CCCCCC(C)(C)C,pan07
12967,13387,"2,4-Dimethylheptane",288.0,1.0,CCCC(C)CC(C)C,pan07
12968,13388,"2,3,4-Trimethylhexane",288.0,1.0,CCC(C)C(C)C(C)C,pan07
12969,13389,"3,3,4-Trimethylhexane",288.0,1.0,CCC(C)C(C)(C)CC,pan07
12970,13390,"2,3,5-Trimethylhexane",288.0,1.0,CC(C)CC(C)C(C)C,pan07
12971,13391,"2,2,3-Trimethylhexane",288.0,1.0,CCCC(C)C(C)(C)C,pan07
12972,13392,"3,5-Dimethylheptane",288.0,1.0,CCC(C)CC(C)CC,pan07
12973,13393,Tetraethylmethane,294.0,1.0,CCC(CC)(CC)CC,pan07
12974,13394,Decane,319.0,1.0,CCCCCCCCCC,pan07
12975,13395,4-Ethyloctane,314.0,1.0,CCCCC(CC)CCC,pan07
12976,13396,"2,4,5-Trimethylheptane",304.0,1.0,CCC(C)C(C)CC(C)C,pan07
12977,13397,"2,3-Dimethyloctane",314.0,1.0,CCCCCC(C)C(C)C,pan07
12978,13398,"3,3-Dimethyloctane",314.0,1.0,CCCCCC(C)(C)CC,pan07
12979,13399,"3,5-Dimethyloctane",314.0,1.0,CCCC(C)CC(C)CC,pan07
12980,13400,"2,6-Dimethyloctane",314.0,1.0,CCC(C)CCCC(C)C,pan07
12981,13401,"3-Ethyl-2,2-dimethylhexane",311.0,1.0,CCCC(CC)C(C)(C)C,pan07
12982,13402,"3,3,4,4-Tetramethylhexane",304.0,1.0,CCC(C)(C)C(C)(C)CC,pan07
12983,13403,"2,2,5,5-Tetramethylhexane",304.0,1.0,CC(C)(C)CCC(C)(C)C,pan07
12984,13404,"2,3,3,4-Tetramethylhexane",304.0,1.0,CCC(C)C(C)(C)C(C)C,pan07
12985,13405,"2,3,4,5-Tetramethylhexane",304.0,1.0,CC(C)C(C)C(C)C(C)C,pan07
12986,13406,"2,2,4,4-Tetramethylhexane",304.0,1.0,CCC(C)(C)CC(C)(C)C,pan07
12987,13407,"3,3,5-Trimethylheptane",304.0,1.0,CCC(C)CC(C)(C)CC,pan07
12988,13408,"2,3,5-Trimethylheptane",304.0,1.0,CCC(C)CC(C)C(C)C,pan07
12989,13409,3-Ethyl-3-methylheptane,314.0,1.0,CCCCC(C)(CC)CC,pan07
12990,13410,4-Ethyl-3-methylheptane,314.0,1.0,CCCC(CC)C(C)CC,pan07
12991,13411,2-Methylnonane,314.0,1.0,CCCCCCCC(C)C,pan07
12992,13412,Undecane,333.0,1.0,CCCCCCCCCCC,pan07
12993,13413,Dodecane,344.0,1.0,CCCCCCCCCCCC,pan07
12994,13414,Tetradecane,372.0,1.0,CCCCCCCCCCCCCC,pan07
12995,13415,Hexadecane,408.0,1.0,CCCCCCCCCCCCCCCC,pan07
12996,13416,"2,2,4,4,6,8,8-Heptamethylnonane",368.0,1.0,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,pan07
12997,13417,2-Methylbutane,216.0,1.0,CCC(C)C,pan07
12998,13418,2-Methylpentane,250.0,1.0,CCCC(C)C,pan07
12999,13419,"2,3,3-Trimethylpentane",273.0,1.0,CCC(C)(C)C(C)C,pan07
13000,13420,2-Methylheptane,277.0,1.0,CCCCCC(C)C,pan07
13001,13421,"2,2-Dimethylhexane",269.0,1.0,CCCCC(C)(C)C,pan07
13002,13422,"3-Ethyl-2,2-dimethylpentane",286.0,1.0,CCC(CC)C(C)(C)C,pan07
13003,13423,"2,4,4-Trimethylhexane",288.0,1.0,CCC(C)(C)CC(C)C,pan07
13004,13424,"4,4-Dimethylheptane",288.0,1.0,CCCC(C)(C)CCC,pan07
13005,13425,"2,3,3-Trimethylhexane",288.0,1.0,CCCC(C)(C)C(C)C,pan07
13006,13426,"2,4,6-Trimethylheptane",304.0,1.0,CC(C)CC(C)CC(C)C,pan07
13007,13427,"3-Ethyl-2,3,4-trimethylpentane",304.0,1.0,CCC(C)(C(C)C)C(C)C,pan07
13008,13428,"2,3,4,4-Tetramethylhexane",304.0,1.0,CCC(C)(C)C(C)C(C)C,pan07
13009,13429,"3,4,5-Trimethylheptane",304.0,1.0,CCC(C)C(C)C(C)CC,pan07
13010,13430,3-Ethyl-5-methylheptane,304.0,1.0,CCC(C)CC(CC)CC,pan07
13011,13431,5-Methylnonane,312.0,1.0,CCCCC(C)CCCC,pan07
13012,13432,2-Methylpropane,186.0,1.0,CC(C)C,pan07
13013,13433,3-Methylpentane,241.0,1.0,CCC(C)CC,pan07
13014,13434,"2,3-Dimethylpentane",258.0,1.0,CCC(C)C(C)C,pan07
13015,13435,3-Methylhexane,258.0,1.0,CCCC(C)CC,pan07
13016,13436,"2,2,3-Trimethylbutane",247.0,1.0,CC(C)C(C)(C)C,pan07
13017,13437,Octane,286.0,1.0,CCCCCCCC,pan07
13018,13438,"2,2,3,3-Tetramethylbutane",273.0,1.0,CC(C)(C)C(C)(C)C,pan07
13019,13439,"2,3,4-Trimethylpentane",273.0,1.0,CC(C)C(C)C(C)C,pan07
13020,13440,"3,4-Dimethylhexane",277.0,1.0,CCC(C)C(C)CC,pan07
13021,13441,3-Ethyl-4-methylhexane,288.0,1.0,CCC(C)C(CC)CC,pan07
13022,13442,"2,2,4-Trimethylhexane",288.0,1.0,CCC(C)CC(C)(C)C,pan07
13023,13443,"2,7-Dimethyloctane",314.0,1.0,CC(C)CCCCC(C)C,pan07
13024,13444,"2,2,3,4-Tetramethylhexane",304.0,1.0,CCC(C)C(C)C(C)(C)C,pan07
13025,13445,Tridecane,352.0,1.0,CCCCCCCCCCCCC,pan07
13026,13446,Pentadecane,388.0,1.0,CCCCCCCCCCCCCCC,pan07
