smiles,compound,flashpoint,source,pure substance
Cl[SiH](Cl)Cl,Trichlorosilane,245.0,pan12,1
Cl[SiH2]Cl,Dichlorosilane,236.0,pan12,1
C[Si](Cl)(Cl)Cl,Methyltrichlorosilane,276.0,pan12,1
C[SiH](Cl)Cl,Methyldichlorosilane,241.0,pan12,1
ClC(Cl)[Si](Cl)(Cl)C,Dichloromethylmethyldichlorosilane,301.0,pan12,1
C(C)[Si](Cl)(Cl)Cl,Ethyltrichlorosilane,295.0,pan12,1
C[Si](Cl)(Cl)C,Dimethyldichlorosilane,257.0,pan12,1
C[SiH](Cl)C,Dimethylchlorosilane,245.0,pan12,1
FC(C(C)[Si](Cl)(Cl)Cl)(F)F,"1,1,1-Trifluoropropyltrichlorosilane",288.0,pan12,1
C(C=C)[Si](Cl)(Cl)Cl,Allyltrichlorosilane,304.0,pan12,1
CC=C[SiH](Cl)Cl,Methylvinyldichlorosilane,272.0,pan12,1
ClCCC[Si](Cl)(Cl)Cl,3-Chloropropyltrichlorosilane,357.0,pan12,1
BrC[Si](Cl)(C)C,Bromomethyldimethylchlorosilane,314.0,pan12,1
ClC[Si](Cl)(C)C,Chloromethyldimethylchlorosilane,295.0,pan12,1
C[Si](Br)(C)C,Trimethylbromosilane,270.0,pan12,1
C[Si](Cl)(C)C,Trimethylchlorosilane,255.0,pan12,1
CO[SiH](OC)OC,Trimethoxysilane,264.0,pan12,1
C[SiH](C)C,Trimethylsilane,204.0,pan12,1
C(#N)CC[Si](Cl)(Cl)C,Cyanoethylmethyldichlorosilane,333.0,pan12,1
C(C=C)C[SiH](Cl)Cl,Allylmethyldichlorosilane,300.0,pan12,1
ClCCC[Si](Cl)(Cl)C,3-Chloropropylmethyldichlorosilane,359.0,pan12,1
C(C)(C)(C)[Si](Cl)(Cl)Cl,t-Butyltrichlorosilane,294.0,pan12,1
C(C(C)C)[Si](Cl)(Cl)Cl,Isobutyltrichlorosilane,310.0,pan12,1
C(CCC)[Si](Cl)(Cl)Cl,n-Butyltrichlorosilane,327.0,pan12,1
C(CC)[Si](Cl)(Cl)C,n-Propylmethyldichlorosilane,300.0,pan12,1
BrC[Si](C)(C)C,Bromomethyltrimethylsilane,289.0,pan12,1
C(C)[Si](Cl)(C)C,Ethyldimethylchlorosilane,269.0,pan12,1
Cl[Si](O[Si](Cl)(C)C)(C)C,"1,3-Dichlorotetramethyldisiloxane",288.0,pan12,1
C[Si](OC)(OC)C,Dimethyldimethoxysilane,265.0,pan12,1
C[Si](OC)(OC)OC,Methyltrimethoxysilane,284.0,pan12,1
CO[Si](OC)(OC)OC,Tetramethoxysilane,294.0,pan12,1
C[Si](C)(C)C,Tetramethylsilane,245.0,pan12,1
CN(C)[SiH](C)C,"(N,N-Dimethylamino)dimethylsilane",260.0,pan12,1
C[SiH](O[SiH](C)C)C,"1,1,3,3-Tetramethyldisiloxane",251.0,pan12,1
CN([Si](C)(C)C)[SiH3],Tetramethyldisilazane,284.0,pan12,1
C1(CCCC1)[Si](Cl)(Cl)Cl,Cyclopentyltrichlorosilane,350.0,pan12,1
C[Si](C)(C)OC(C(F)(F)F)=O,Trimethylsilyltrifluoroacetate,273.0,pan12,1
C1(CCCC1)[SiH](Cl)Cl,Cyclopentyldichlorosilane,316.0,pan12,1
C(C=C)[Si](Cl)(C)C,Allyldimethylchlorosilane,278.0,pan12,1
ClCC(C[Si](Cl)(Cl)C)C,3-Chloro-2-methylpropylmethyldichlorosilane,363.0,pan12,1
C(CCC)[Si](Cl)(Cl)C,n-Butylmethyldichlorosilane,303.0,pan12,1
