compound,smiles,flashpoint,pure substance,source
ALLYLTRI-n-BUTYLTIN,C=CC[Sn](CCCC)(CCCC)CCCC,376.15,1,gelest_tin
BIS[BIS(TRIMETHYLSILYL)AMINO]TIN(II),C[Si](C)(C)N([Sn]N([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,329.15,1,gelest_tin
t-BUTYLTRI n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)C(C)(C)C,375.15,1,gelest_tin
CHLOROMETHYLTRIMETHYLTIN,C[Sn](C)(C)CCl,312.15,1,gelest_tin
DIALLYLDI-n-BUTYLTIN,C=CC[Sn](CC=C)(CCCC)CCCC,374.15,1,gelest_tin
DI-n-BUTYLDIACETOXYTIN,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,416.15,1,gelest_tin
DI-n-BUTYLDI-n-BUTOXYTIN,CCCCO[Sn](CCCC)(CCCC)OCCCC,389.15,1,gelest_tin
DI-n-BUTYLDICHLOROTIN,CCCC[Sn](Cl)(Cl)CCCC,441.15,1,gelest_tin
DI-t-BUTYLDICHLOROTIN,CC(C)(C)[Sn](Cl)(Cl)C(C)(C)C,386.15,1,gelest_tin
DI-n-BUTYLDIMETHOXYTIN,CCCC[Sn](CCCC)(OC)OC,383.15,1,gelest_tin
DIMETHYLAMINOTRI-n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)N(C)C,388.15,1,gelest_tin
DIMETHYLAMINOTRIMETHYLTIN,CN(C)[Sn](C)(C)C,274.15,1,gelest_tin
DIOCTYLDICHLOROTIN,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,477.15,1,gelest_tin
DIOCTYLDILAURYLTIN,CCCCCCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCCCCCC,471.15,1,gelest_tin
DIVINYLDICHLOROTIN,C=C[Sn](Cl)(Cl)C=C,477.15,1,gelest_tin
1-ETHOXYVINYLTRI-n-BUTYLTIN,C=C(OCC)[Sn](CCCC)(CCCC)CCCC,386.15,1,gelest_tin
ETHYNYLTRI-n-BUTYLTIN,C#C[Sn](CCCC)(CCCC)CCCC,346.15,1,gelest_tin
PHENYLETHYNYLTRI-n-BUTYLTIN,CCCC[Sn](C#Cc1ccccc1)(CCCC)CCCC,386.15,1,gelest_tin
PHENYLTRI-n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)c1ccccc1,380.15,1,gelest_tin
PHENYLTHIOTRI-n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)Sc1ccccc1,377.15,1,gelest_tin
TETRAALLYLTIN,C=CC[Sn](CC=C)(CC=C)CC=C,348.15,1,gelest_tin
TETRABUTYLDILAURYLDISTANNOXANE,CCCCCCCCCCCC[Sn](CCCC)(CCCCCCCCCCCC)O[Sn](CCCC)(CCCC)CCCC,504.15,1,gelest_tin
TETRA-n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)CCCC,274.15,1,gelest_tin
TETRA-n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)CCCC,380.15,1,gelest_tin
TETRAETHYLTIN,CC[Sn](CC)(CC)CC,326.15,1,gelest_tin
TETRAKIS(DIETHYLAMINO)TIN,CCN(CC)[Sn](N(CC)CC)(N(CC)CC)N(CC)CC,312.15,1,gelest_tin
TETRAMETHYLTIN,C[Sn](C)(C)C,261.15,1,gelest_tin
TETRAMETHYLTIN,C[Sn](C)(C)C,261.15,1,gelest_tin
TETRA-n-OCTYLTIN,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,367.15,1,gelest_tin
TETRAPHENYLTIN,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,504.15,1,gelest_tin
TETRAVINYLTIN,C=C[Sn](C=C)(C=C)C=C,313.15,1,gelest_tin
2-THIENYLTRI-n-BUTYLTIN,CCCC[Sn](CCCC)(CCCC)c1cccs1,379.15,1,gelest_tin
TIN(IV) OXIDE,O=[Sn]=O,284.15,0,gelest_tin
TRI-n-BUTYLACETOXYTIN,CCCCC(CCCC)(CCCC)C(=O)O[Sn],393.15,1,gelest_tin
TRI-n-BUTYLCHLOROTIN,CCCC[Sn](Cl)(CCCC)CCCC,393.15,1,gelest_tin
TRI-n-BUTYLETHOXYTIN,CCCC[Sn](CCCC)(CCCC)OCC,377.15,1,gelest_tin
TRI-n-BUTYLIODOTIN,CCCC[Sn](I)(CCCC)CCCC,386.15,1,gelest_tin
TRI-n-BUTYLMETHOXYTIN,CCCC[Sn](CCCC)(CCCC)OC,371.15,1,gelest_tin
TRI-n-BUTYLTIN HYDRIDE,CCCC[SnH](CCCC)CCCC,313.15,1,gelest_tin
TRICYCLOHEXYLTIN HYDRIDE,C1CCC([SnH](C2CCCCC2)C2CCCCC2)CC1,378.15,1,gelest_tin
TRIETHYLBROMOTIN,CC[Sn](Br)(CC)CC,372.15,1,gelest_tin
TRIMETHYLCHLOROTIN,C[Sn](C)(C)Cl,370.15,1,gelest_tin
TRIMETHYLCHLOROTIN,C[Sn](C)(C)Cl,259.15,0,gelest_tin
TRIPHENYLCHLOROTIN,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,343.15,1,gelest_tin
