,compound,flashpoint,pure substance,smiles,source
0,Methyltrichlorosilane,276.15,1,C[Si](Cl)(Cl)Cl,wang11
1,Vinyltrichlorosilane,294.15,1,C=C[Si](Cl)(Cl)Cl,wang11
2,Dichloromethylmethyldichlorosilane,301.15,1,C[Si](Cl)(Cl)C(Cl)Cl,wang11
3,Ethyltrichlorosilane,263.15,1,CC[Si](Cl)(Cl)Cl,wang11
4,Dimethylchlorosilane,245.15,1,C[SiH](C)Cl,wang11
5,Ethylsilane,213.15,1,CC[SiH3],wang11
6,"1,1,1-Trifluoropropyltrichlorosilane",288.15,1,CC(C(F)(F)F)[Si](Cl)(Cl)Cl,wang11
7,Allyltrichlorosilane,304.15,1,C=CC[Si](Cl)(Cl)Cl,wang11
8,Methylvinyldichlorosilane,272.15,1,CC=C[SiH](Cl)Cl,wang11
9,3-Chloropropyltrichlorosilane,357.15,1,ClCCC[Si](Cl)(Cl)Cl,wang11
10,n-Propyltrichlorosilane,310.15,1,CCC[Si](Cl)(Cl)Cl,wang11
11,Chloromethyldimethylchlorosilane,295.15,1,C[Si](C)(Cl)CCl,wang11
12,Trimethylbromosilane,270.15,1,C[Si](C)(C)Br,wang11
13,Trimethylchlorosilane,255.15,1,C[Si](C)(C)Cl,wang11
14,Trimethylfluorosilane,238.15,1,C[Si](C)(C)F,wang11
15,Trimethoxysilane,264.15,1,CO[SiH](OC)OC,wang11
16,Cyanoethylmethyldichlorosilane,333.15,1,C[Si](Cl)(Cl)CCC#N,wang11
17,Allylmethyldichlorosilane,300.15,1,C=CCC[SiH](Cl)Cl,wang11
18,3-Chloropropylmethyldichlorosilane,359.15,1,C[Si](Cl)(Cl)CCCCl,wang11
19, t-Butyltrichlorosilane,294.15,1,CC(C)(C)[Si](Cl)(Cl)Cl,wang11
20, Isobutyltrichlorosilane,310.15,1,CC(C)C[Si](Cl)(Cl)Cl,wang11
21, n-Butyltrichlorosilane,327.15,1,CCCC[Si](Cl)(Cl)Cl,wang11
22, Trimethylsilylisothiocyanate,308.15,1,C[Si](C)(C)N=C=S,wang11
23, n-Propylmethyldichlorosilane,300.15,1,CCC[Si](C)(Cl)Cl,wang11
24, Bromomethyltrimethylsilane,289.15,1,C[Si](C)(C)CBr,wang11
25, Ethyldimethylchlorosilane,269.15,1,CC[Si](C)(C)Cl,wang11
26, Methoxytrimethylsilane,243.15,1,CO[Si](C)(C)C,wang11
27, Dimethyldimethoxysilane,265.15,1,CO[Si](C)(C)OC,wang11
28," Methyltrimethoxysilane
",284.15,1,CO[Si](C)(OC)OC,wang11
29, Tetramethoxysilane,294.15,1,CO[Si](OC)(OC)OC,wang11
30, Tetramethylsilane,245.15,1,C[Si](C)(C)C,wang11
31, Diethylsilane,253.15,1,CC[SiH2]CC,wang11
32," (N,N-Dimethylamino)dimethylsilane",260.15,1,CN(C)[SiH](C)C,wang11
33, Tetraisocyanatosilane,323.15,1,O=C=N[Si](N=C=O)(N=C=O)N=C=O,wang11
34, Cyclopentyltrichlorosilane,350.15,1,Cl[Si](Cl)(Cl)C1CCCC1,wang11
35, Trimethylsilyltrifluoroacetate,273.15,1,C[Si](C)(C)OC(=O)C(F)(F)F,wang11
36, Cyclopentyldichlorosilane,316.15,1,Cl[SiH](Cl)C1CCCC1,wang11
37,3-Chloro-2-methylpropylmethyldichlorosilane,363.15,1,CC(CCl)C[Si](C)(Cl)Cl,wang11
38, Methylvinyldimethoxysilane,277.15,1,CC=C[SiH](OC)OC,wang11
39, Vinyltrimethoxysilane,296.15,1,C=C[Si](OC)(OC)OC,wang11
40, Trimethylvinylsilane,239.15,1,CC(C)=C(C)[SiH3],wang11
41, Diethylmethylchlorosilane,288.15,1,CC[Si](C)(Cl)CC,wang11
42, Chloromethyldimethylethoxysilane,299.15,1,CCO[Si](C)(C)CCl,wang11
43, Ethoxytrimethylsilane,246.15,1,CCO[Si](C)(C)C,wang11
44, Ethyltrimethoxysilane,300.15,1,CC[Si](OC)(OC)OC,wang11
45," (N,N-Dimethylamino)trimethylsilane",254.15,1,CN(C)[Si](C)(C)C,wang11
46, Pentamethyldisiloxane,254.15,1,C[SiH](C)O[Si](C)(C)C,wang11
47,Phenyldichlorosilane,333.15,1,Cl[SiH](Cl)c1ccccc1,wang11
48,Phenylsilane,281.15,1,[SiH3]c1ccccc1,wang11
49,1-Hexenyltrichlorosilane,333.15,1,CCCCC=C[Si](Cl)(Cl)Cl,wang11
50,Cyclohexyltrichlorosilane,358.15,1,Cl[Si](Cl)(Cl)C1CCCCC1,wang11
51,Bis(chloromethyl)tetramethyldisiloxane,346.15,1,C[Si](C)(C)O[Si](C)(CCl)CCl,wang11
52,Propargyloxytrimethylsilane,300.15,1,C#CCO[Si](C)(C)C,wang11
53,Divinyldimethylsilane,281.15,1,C=C[Si](C)(C)C=C,wang11
54,n-Hexyltrichlorosilane,358.15,1,CCCCCC[Si](Cl)(Cl)Cl,wang11
55,Hexyldichlorosilane,337.15,1,CCCCCC[SiH](Cl)Cl,wang11
56,"1,1-Dimethyl-1-sila-2-oxacyclohexane",287.15,1,C[Si]1(C)CCCCO1,wang11
57,Acetoxymethyltrimethylsilane,293.15,1,CC(=O)OC[Si](C)(C)C,wang11
58,Allyltrimethylsilane,280.15,1,C=CC[Si](C)(C)C,wang11
59,Triethylchlorosilane,303.15,1,CC[Si](Cl)(CC)CC,wang11
60,t-Butyldimethylchlorosilane,295.15,1,CC(C)(C)[Si](C)(C)Cl,wang11
61,3-Chloropropylmethyldimethoxysilane,318.15,1,CO[Si](C)(CCCCl)OC,wang11
62,Trimethyl-n-propoxysilane,283.15,1,CCCO[Si](C)(C)C,wang11
63,t-Butyldimethylsilanol,318.15,1,CC(C)(C)[Si](C)(C)O,wang11
64,Dimethyldiethoxysilane,284.15,1,CCO[Si](C)(C)OCC,wang11
65,Triethylsilane,270.15,1,CC[SiH](CC)CC,wang11
66,Hexylsilane,285.15,1,CCCCCC[SiH3],wang11
67,t-Butyldimethylsilane,251.15,1,C[SiH](C)C(C)(C)C,wang11
68,Bis(dimethylamino)dimethylsilane,266.15,1,CN(C)[Si](C)(C)N(C)C,wang11
69,Hexamethylcyclotrisiloxane,305.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,wang11
70,Hexamethyldisilthiane,299.15,1,C[Si](C)(C)S[Si](C)(C)C,wang11
71,Hexamethyldisilazane,281.15,1,C[Si](C)(C)N[Si](C)(C)C,wang11
72,Tris(dimethylamino)silane,298.15,1,CN(C)[SiH](N(C)C)N(C)C,wang11
73,Hexamethyltrisiloxane,293.15,1,C[Si](C)(C)O[SiH2]O[Si](C)(C)C,wang11
74,Phenylmethyldichlorosilane,340.15,1,Cl[SiH](Cl)Cc1ccccc1,wang11
75,Phenylmethylchlorosilane,355.15,1,Cl[SiH2]Cc1ccccc1,wang11
76,Methyltriacetoxysilane,358.15,1,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,wang11
77,Trivinylmethylsilane,288.15,1,C=CC([SiH3])(C=C)C=C,wang11
78,Cyclohexylmethyldichlorosilane,355.15,1,Cl[SiH](Cl)CC1CCCCC1,wang11
