compound,smiles,flashpoint,pure substance,source
ACETOXYETHYLDIMETHYLCHLOROSILANE,CC(=O)OCC[Si](C)(C)Cl,336.15,1,gelest_silanes
ACETOXYETHYLMETHYLDICHLOROSILANE,CC(=O)OCC[Si](C)(Cl)Cl,338.15,1,gelest_silanes
ACETOXYETHYLTRICHLOROSILANE,CC(=O)OCC[Si](Cl)(Cl)Cl,355.15,1,gelest_silanes
ACETOXYETHYLTRIETHOXYSILANE,CCO[Si](CCOC(C)=O)(OCC)OCC,372.15,1,gelest_silanes
ACETOXYMETHYLTRIMETHYLSILANE,CC(=O)OC[Si](C)(C)C,293.15,1,gelest_silanes
3-ACETOXYPROPYLMETHYLDICHLOROSILANE,CC(=O)OCCC[Si](C)(Cl)Cl,358.15,1,gelest_silanes
3-ACETOXYPROPYLTRIMETHOXYSILANE,CO[Si](CCCOC(C)=O)(OC)OC,366.15,1,gelest_silanes
ACETOXYTRIMETHYLSILANE,CC(=O)O[Si](C)(C)C,277.15,1,gelest_silanes
N-(ACETYLGLYCYL)-3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCNC(=O)CNC(C)=O)(OC)OC,284.15,0,gelest_silanes
3-(N-ACETYL-4-HYDROXYPROLYLOXY)PROPYLTRIETHOXYSILANE,CCO[Si](CCCOC(=O)[C@@H]1CC(O)CN1C(C)=O)(OCC)OCC,288.15,0,gelest_silanes
N-(N-ACETYLLEUCYL)-3-AMINOPROPYLTRIETHOXYSILANE,CCO[Si](CCCNC(=O)[C@H](CC(C)C)NC(C)=O)(OCC)OCC,288.15,0,gelest_silanes
ACETYLTRIMETHYLSILANE,CC(=O)[Si](C)(C)C,281.15,1,gelest_silanes
N-(3-ACRYLOXY-2-HYDROXYPROPYL)-3-AMINOPROPYLTRIETHOXYSILANE,C=CC(=O)OCC(O)CNCCC[Si](OCC)(OCC)OCC,288.15,0,gelest_silanes
ACRYLOXYMETHYLTRIMETHOXYSILANE,C=CC(=O)OC[Si](OC)(OC)OC,335.15,1,gelest_silanes
(3-ACRYLOXYPROPYL)DIMETHYLMETHOXYSILANE,C=CC(=O)OCCC[Si](C)(C)OC,358.15,1,gelest_silanes
(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,C=CC(=O)OCCC[Si](OC)(OC)OC,396.15,1,gelest_silanes
(3-ACRYLOXYPROPYL)TRIS(TRIMETHYLSILOXY)SILANE,C=CC(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,366.15,1,gelest_silanes
ACRYLOXYTRIMETHYLSILANE,C=CC(=O)O[Si](C)(C)C,299.15,1,gelest_silanes
3-(N-ALLYLAMINO)PROPYLTRIMETHOXYSILANE,C=CCNCCC[Si](OC)(OC)OC,361.15,1,gelest_silanes
ALLYLAMINOTRIMETHYLSILANE,C=CCN[Si](C)(C)C,283.15,1,gelest_silanes
ALLYL(CHLOROMETHYL)DIMETHYLSILANE,C=CC[Si](C)(C)CCl,300.15,1,gelest_silanes
ALLYL(3-CHLOROPROPYL)DICHLOROSILANE,C=CC[Si](Cl)(Cl)CCCCl,349.15,1,gelest_silanes
ALLYLDICHLOROSILANE,C=CC[SiH](Cl)Cl,269.15,1,gelest_silanes
ALLYLDIMETHYL(DIISOPROPYLAMINO)SILANE,C=CC[Si](C)(C)N(C(C)C)C(C)C,335.15,1,gelest_silanes
ALLYLDIMETHYLSILANE,C=CC[SiH](C)C,253.14999999999998,1,gelest_silanes
ALLYL(4-METHOXYPHENYL)DIMETHYLSILANE,C=CC[Si](C)(C)c1ccc(OC)cc1,375.15,1,gelest_silanes
ALLYLMETHYLDICHLOROSILANE,C=CCC[SiH](Cl)Cl,300.15,1,gelest_silanes
ALLYLOXY-t-BUTYLDIMETHYLSILANE,C=CCO[Si](C)(C)C(C)(C)C,305.15,1,gelest_silanes
ALLYLOXYTRIMETHYLSILANE,C=CCO[Si](C)(C)C,273.15,1,gelest_silanes
ALLYLPHENYLDICHLOROSILANE,C=CC[Si](Cl)(Cl)c1ccccc1,349.15,1,gelest_silanes
ALLYLTRICHLOROSILANE,C=CC[Si](Cl)(Cl)Cl,304.15,1,gelest_silanes
ALLYLTRIETHOXYSILANE,C=CC[Si](OCC)(OCC)OCC,320.15,1,gelest_silanes
ALLYLTRIISOPROPYLSILANE,C=CC[Si](C(C)C)(C(C)C)C(C)C,349.15,1,gelest_silanes
ALLYLTRIMETHOXYSILANE,C=CC[Si](OC)(OC)OC,319.15,1,gelest_silanes
ALLYLTRIMETHYLSILANE,C=CC[Si](C)(C)C,280.15,1,gelest_silanes
ALLYLTRIS(TRIMETHYLSILOXY)SILANE,C=CC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,340.15,1,gelest_silanes
4-AMINOBUTYLTRIETHOXYSILANE,CCO[Si](CCCCN)(OCC)OCC,382.15,1,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,CO[Si](C)(CCCNCCN)OC,363.15,1,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLSILANETRIOL,NCCNCCC[Si](O)(O)O,383.15,0,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIETHOXYSILANE,CCO[Si](CCCNCCN)(OCC)OCC,421.15,1,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCNCCN)(OC)OC,423.15,1,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCNCCN)(OC)OC,423.15,1,gelest_silanes
AMINOMETHYLTRIMETHYLSILANE,C[Si](C)(C)CN,282.15,1,gelest_silanes
m-AMINOPHENYLTRIMETHOXYSILANE,CO[Si](OC)(OC)c1cccc(N)c1,453.15,1,gelest_silanes
p-AMINOPHENYLTRIMETHOXYSILANE,CO[Si](OC)(OC)c1ccc(N)cc1,453.15,1,gelest_silanes
AMINOPHENYLTRIMETHOXYSILANE,CO[Si](OC)(OCN)c1ccccc1,453.15,1,gelest_silanes
3-AMINOPROPYLDIMETHYLETHOXYSILANE,CCO[Si](C)(C)CCCN,346.15,1,gelest_silanes
3-AMINOPROPYLTRIETHOXYSILANE,CCO[Si](CCCN)(OCC)OCC,377.15,1,gelest_silanes
3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCN)(OC)OC,356.15,1,gelest_silanes
3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCN)(OC)OC,356.15,1,gelest_silanes
3-AMINOPROPYLTRIMETHYLSILANE,C[Si](C)(C)CCCN,332.15,1,gelest_silanes
3-AMINOPROPYLTRIS(METHOXYETHOXYETHOXY)SILANE,COCCOCCO[Si](CCCN)(OCCOCCOC)OCCOCCOC,341.15,1,gelest_silanes
